|------|-------------------------|-------------------------|-------------------------|-----------------------|-----------------------|-----------------------|----------------|----------------|----------------|-------------------------|-------------------------|-------------------------|------------------------|------------------------|------------------------|---------------|--------------|
|      | frame_segment_avg_tab_p | frame_segment_avg_tab_r | frame_segment_avg_tab_f | frame_frame_avg_tab_p | frame_frame_avg_tab_r | frame_frame_avg_tab_f | note_avg_tab_p | note_avg_tab_r | note_avg_tab_f | frame_avg_F0_from_tab_p | frame_avg_F0_from_tab_r | frame_avg_F0_from_tab_f | note_avg_F0_from_tab_p | note_avg_F0_from_tab_r | note_avg_F0_from_tab_f | frame_avg_tdr | note_avg_tdr |
|------|-------------------------|-------------------------|-------------------------|-----------------------|-----------------------|-----------------------|----------------|----------------|----------------|-------------------------|-------------------------|-------------------------|------------------------|------------------------|------------------------|---------------|--------------|
| No00 |                   0.773 |                   0.700 |                   0.731 |                 0.762 |                 0.679 |                 0.718 |          0.765 |          0.701 |          0.728 |                   0.874 |                   0.780 |                   0.820 |                  0.860 |                  0.779 |                  0.813 |         0.893 |        0.897 |
|------|-------------------------|-------------------------|-------------------------|-----------------------|-----------------------|-----------------------|----------------|----------------|----------------|-------------------------|-------------------------|-------------------------|------------------------|------------------------|------------------------|---------------|--------------|
| No01 |                   0.794 |                   0.830 |                   0.809 |                 0.803 |                 0.861 |                 0.831 |          0.790 |          0.832 |          0.808 |                   0.851 |                   0.878 |                   0.862 |                  0.844 |                  0.879 |                  0.858 |         0.943 |        0.945 |
|------|-------------------------|-------------------------|-------------------------|-----------------------|-----------------------|-----------------------|----------------|----------------|----------------|-------------------------|-------------------------|-------------------------|------------------------|------------------------|------------------------|---------------|--------------|
| No02 |                   0.831 |                   0.784 |                   0.803 |                 0.818 |                 0.767 |                 0.792 |          0.826 |          0.784 |          0.800 |                   0.902 |                   0.844 |                   0.868 |                  0.893 |                  0.844 |                  0.863 |         0.930 |        0.931 |
|------|-------------------------|-------------------------|-------------------------|-----------------------|-----------------------|-----------------------|----------------|----------------|----------------|-------------------------|-------------------------|-------------------------|------------------------|------------------------|------------------------|---------------|--------------|
| No03 |                   0.795 |                   0.798 |                   0.794 |                 0.811 |                 0.815 |                 0.813 |          0.772 |          0.804 |          0.785 |                   0.888 |                   0.875 |                   0.879 |                  0.856 |                  0.877 |                  0.864 |         0.913 |        0.918 |
|------|-------------------------|-------------------------|-------------------------|-----------------------|-----------------------|-----------------------|----------------|----------------|----------------|-------------------------|-------------------------|-------------------------|------------------------|------------------------|------------------------|---------------|--------------|
| No04 |                   0.801 |                   0.796 |                   0.796 |                 0.811 |                 0.796 |                 0.804 |          0.783 |          0.801 |          0.789 |                   0.862 |                   0.854 |                   0.855 |                  0.840 |                  0.858 |                  0.845 |         0.936 |        0.940 |
|------|-------------------------|-------------------------|-------------------------|-----------------------|-----------------------|-----------------------|----------------|----------------|----------------|-------------------------|-------------------------|-------------------------|------------------------|------------------------|------------------------|---------------|--------------|
| No05 |                   0.757 |                   0.781 |                   0.765 |                 0.760 |                 0.781 |                 0.770 |          0.728 |          0.784 |          0.750 |                   0.850 |                   0.866 |                   0.853 |                  0.816 |                  0.868 |                  0.836 |         0.902 |        0.903 |
|------|-------------------------|-------------------------|-------------------------|-----------------------|-----------------------|-----------------------|----------------|----------------|----------------|-------------------------|-------------------------|-------------------------|------------------------|------------------------|------------------------|---------------|--------------|
| mean |                   0.792 |                   0.781 |                   0.783 |                 0.794 |                 0.783 |                 0.788 |          0.777 |          0.784 |          0.777 |                   0.871 |                   0.850 |                   0.856 |                  0.851 |                  0.851 |                  0.846 |         0.920 |        0.922 |
|------|-------------------------|-------------------------|-------------------------|-----------------------|-----------------------|-----------------------|----------------|----------------|----------------|-------------------------|-------------------------|-------------------------|------------------------|------------------------|------------------------|---------------|--------------|
| std  |                   0.025 |                   0.044 |                   0.030 |                 0.026 |                 0.061 |                 0.040 |          0.032 |          0.044 |          0.031 |                   0.021 |                   0.036 |                   0.020 |                  0.026 |                  0.037 |                  0.019 |         0.020 |        0.020 |
|------|-------------------------|-------------------------|-------------------------|-----------------------|-----------------------|-----------------------|----------------|----------------|----------------|-------------------------|-------------------------|-------------------------|------------------------|------------------------|------------------------|---------------|--------------|
