subset,metric,mean,std,ci95_lo,ci95_hi
all,frame_p,0.775,0.014,0.745,0.801
all,frame_r,0.769,0.017,0.735,0.802
all,frame_f1,0.772,0.015,0.74,0.801
all,note_p,0.749,0.015,0.718,0.777
all,note_r,0.757,0.018,0.722,0.791
all,note_f1,0.753,0.016,0.721,0.783
all,frameF0_p,0.856,0.007,0.843,0.868
all,frameF0_r,0.844,0.009,0.827,0.862
all,frameF0_f1,0.85,0.007,0.837,0.862
all,noteF0_p,0.836,0.007,0.821,0.85
all,noteF0_r,0.841,0.009,0.824,0.857
all,noteF0_f1,0.838,0.007,0.825,0.851
all,frame_tdr,0.914,0.015,0.883,0.94
all,note_tdr,0.902,0.017,0.868,0.932
solo,frame_p,0.823,0.014,0.794,0.85
solo,frame_r,0.819,0.015,0.79,0.846
solo,frame_f1,0.821,0.014,0.793,0.847
solo,note_p,0.803,0.015,0.773,0.831
solo,note_r,0.826,0.015,0.794,0.855
solo,note_f1,0.814,0.014,0.785,0.841
solo,frameF0_p,0.897,0.007,0.883,0.91
solo,frameF0_r,0.888,0.008,0.872,0.904
solo,frameF0_f1,0.893,0.006,0.88,0.905
solo,noteF0_p,0.874,0.008,0.858,0.889
solo,noteF0_r,0.893,0.008,0.876,0.909
solo,noteF0_f1,0.883,0.007,0.87,0.896
solo,frame_tdr,0.929,0.013,0.901,0.952
solo,note_tdr,0.929,0.014,0.901,0.953
comp,frame_p,0.758,0.019,0.718,0.792
comp,frame_r,0.751,0.023,0.704,0.794
comp,frame_f1,0.755,0.021,0.712,0.792
comp,note_p,0.728,0.02,0.687,0.766
comp,note_r,0.732,0.024,0.684,0.777
comp,note_f1,0.73,0.021,0.686,0.77
comp,frameF0_p,0.841,0.009,0.824,0.857
comp,frameF0_r,0.829,0.012,0.806,0.853
comp,frameF0_f1,0.835,0.009,0.817,0.852
comp,noteF0_p,0.822,0.01,0.802,0.84
comp,noteF0_r,0.822,0.012,0.798,0.845
comp,noteF0_f1,0.822,0.009,0.803,0.839
comp,frame_tdr,0.908,0.019,0.867,0.943
comp,note_tdr,0.891,0.023,0.844,0.932
