file,subset,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn,frame_tdr_num,frame_tdr_den,note_tdr_num,note_tdr_den
04_Rock1-130-A_solo_01.npz,solo,215,47,78,41,13,16,222,29,71,42,11,15,215.0,222.0,41.0,42.0
03_Funk1-114-Ab_solo_02.npz,solo,273,17,49,49,11,10,273,17,49,49,11,10,273.0,273.0,49.0,49.0
01_Jazz3-150-C_solo_00.npz,solo,213,12,20,50,6,2,215,9,18,50,6,2,213.0,215.0,50.0,50.0
03_Funk2-108-Eb_solo_00.npz,solo,216,17,33,36,7,3,216,17,22,36,7,1,216.0,216.0,36.0,36.0
01_BN3-119-G_solo_03.npz,solo,173,130,133,35,25,22,280,15,26,54,4,3,173.0,280.0,35.0,54.0
03_Jazz1-130-D_comp_02.npz,comp,408,71,60,77,28,16,412,47,56,85,20,8,408.0,412.0,77.0,85.0
03_Jazz3-137-Eb_solo_03.npz,solo,250,8,22,53,11,5,250,8,22,53,11,5,250.0,250.0,53.0,53.0
03_BN1-129-Eb_solo_02.npz,solo,235,19,17,48,7,2,245,9,7,50,5,0,235.0,245.0,48.0,50.0
04_SS1-68-E_comp_00.npz,comp,3250,314,93,350,32,3,3251,313,69,350,32,2,3250.0,3251.0,350.0,350.0
04_Funk3-98-A_comp_00.npz,comp,531,229,206,81,47,32,606,122,131,101,23,12,531.0,606.0,81.0,101.0
00_BN1-129-Eb_comp_01.npz,comp,681,119,141,141,33,32,685,115,137,141,33,32,681.0,685.0,141.0,141.0
03_Rock3-117-Bb_comp_00.npz,comp,508,81,146,102,16,24,535,48,119,106,11,20,508.0,535.0,102.0,106.0
01_Jazz3-150-C_comp_02.npz,comp,268,39,62,59,11,18,268,39,62,59,11,18,268.0,268.0,59.0,59.0
01_Jazz3-150-C_comp_03.npz,comp,284,37,76,61,18,20,287,34,73,61,18,20,284.0,287.0,61.0,61.0
03_BN1-129-Eb_solo_01.npz,solo,256,13,11,52,6,3,256,13,11,52,6,3,256.0,256.0,52.0,52.0
03_Jazz1-130-D_solo_00.npz,solo,197,35,21,38,9,3,208,11,10,40,5,1,197.0,208.0,38.0,40.0
00_Funk1-114-Ab_comp_01.npz,comp,702,207,168,135,51,34,722,186,148,138,48,31,702.0,722.0,135.0,138.0
05_BN3-154-E_solo_03.npz,solo,169,41,18,33,19,8,181,29,6,35,17,6,169.0,181.0,33.0,35.0
03_Rock3-117-Bb_comp_02.npz,comp,491,270,238,97,50,47,680,73,49,133,12,11,491.0,680.0,97.0,133.0
04_Rock1-130-A_comp_02.npz,comp,236,325,443,51,72,97,494,65,167,106,14,37,236.0,494.0,51.0,106.0
05_Funk1-114-Ab_solo_02.npz,solo,87,44,30,12,11,10,87,44,30,12,11,10,87.0,87.0,12.0,12.0
00_Jazz2-110-Bb_comp_00.npz,comp,968,291,315,162,69,55,968,291,315,162,69,55,968.0,968.0,162.0,162.0
05_BN3-154-E_comp_00.npz,comp,441,17,101,105,3,24,441,17,101,105,3,24,441.0,441.0,105.0,105.0
01_Jazz1-200-B_solo_00.npz,solo,147,24,14,51,7,3,147,24,14,51,7,3,147.0,147.0,51.0,51.0
02_BN1-147-Gb_solo_01.npz,solo,158,23,34,40,4,5,169,8,23,41,3,4,158.0,169.0,40.0,41.0
00_Jazz2-110-Bb_solo_03.npz,solo,359,20,23,64,3,2,359,20,23,64,3,2,359.0,359.0,64.0,64.0
01_Jazz3-150-C_solo_03.npz,solo,216,25,23,46,12,9,217,22,22,47,11,8,216.0,217.0,46.0,47.0
01_BN3-119-G_comp_03.npz,comp,446,38,129,90,11,21,461,23,114,92,9,19,446.0,461.0,90.0,92.0
04_Funk3-98-A_solo_02.npz,solo,260,19,20,43,3,1,260,19,20,43,3,1,260.0,260.0,43.0,43.0
04_SS1-68-E_comp_02.npz,comp,2725,263,366,298,20,31,2711,185,268,292,16,26,2725.0,2711.0,298.0,292.0
03_BN1-129-Eb_solo_00.npz,solo,183,14,27,39,3,8,183,14,27,39,3,8,183.0,183.0,39.0,39.0
01_Jazz1-200-B_comp_02.npz,comp,213,200,231,67,58,73,353,60,91,108,17,32,213.0,353.0,67.0,108.0
03_BN1-129-Eb_comp_01.npz,comp,632,68,48,136,22,5,632,68,48,136,22,5,632.0,632.0,136.0,136.0
01_BN3-154-E_comp_03.npz,comp,578,98,87,140,27,24,590,86,75,141,26,23,578.0,590.0,140.0,141.0
05_SS1-68-E_solo_00.npz,solo,239,91,115,25,11,15,239,91,115,25,11,15,239.0,239.0,25.0,25.0
02_Rock1-90-C#_solo_02.npz,solo,369,175,157,54,28,23,453,49,73,67,8,10,369.0,453.0,54.0,67.0
01_Jazz3-150-C_comp_00.npz,comp,211,110,71,58,26,15,244,75,38,66,18,7,211.0,244.0,58.0,66.0
00_Jazz2-110-Bb_comp_02.npz,comp,1130,179,206,188,48,38,1133,176,203,188,46,38,1130.0,1133.0,188.0,188.0
01_Funk2-119-G_comp_03.npz,comp,301,127,89,68,41,13,320,82,70,70,38,11,301.0,320.0,68.0,70.0
03_Funk1-114-Ab_comp_02.npz,comp,479,59,211,83,24,45,479,58,211,83,24,45,479.0,479.0,83.0,83.0
03_Rock1-130-A_solo_00.npz,solo,123,59,9,24,14,5,126,45,6,27,10,2,123.0,126.0,24.0,27.0
01_Jazz1-200-B_comp_00.npz,comp,10,429,467,0,142,147,335,103,142,104,38,43,10.0,335.0,0.0,104.0
03_Funk2-108-Eb_comp_02.npz,comp,667,56,101,118,3,20,667,56,101,118,3,20,667.0,667.0,118.0,118.0
01_Jazz1-200-B_solo_01.npz,solo,148,30,36,51,11,10,148,30,36,51,11,10,148.0,148.0,51.0,51.0
02_BN1-147-Gb_comp_00.npz,comp,15,605,769,3,142,179,567,53,217,133,12,49,15.0,567.0,3.0,133.0
02_Rock1-90-C#_comp_02.npz,comp,810,287,362,113,53,54,828,269,319,117,49,47,810.0,828.0,113.0,117.0
01_Funk2-119-G_solo_02.npz,solo,242,41,69,51,11,11,242,41,69,51,11,11,242.0,242.0,51.0,51.0
02_BN3-154-E_comp_03.npz,comp,558,151,176,137,39,48,596,112,138,148,28,37,558.0,596.0,137.0,148.0
01_BN3-154-E_comp_01.npz,comp,531,127,48,129,27,8,531,127,48,129,27,8,531.0,531.0,129.0,129.0
04_SS1-68-E_solo_01.npz,solo,423,88,52,48,10,3,427,82,20,49,9,0,423.0,427.0,48.0,49.0
03_Jazz3-137-Eb_solo_00.npz,solo,224,19,26,46,9,6,230,13,20,48,7,4,224.0,230.0,46.0,48.0
01_Rock1-130-A_solo_02.npz,solo,224,54,51,52,11,7,230,48,38,53,10,5,224.0,230.0,52.0,53.0
03_Jazz3-137-Eb_comp_03.npz,comp,374,108,196,77,26,40,377,105,193,78,25,39,374.0,377.0,77.0,78.0
01_BN3-119-G_comp_00.npz,comp,355,50,63,71,15,11,355,50,63,71,15,11,355.0,355.0,71.0,71.0
01_BN1-129-Eb_solo_00.npz,solo,253,7,6,54,0,1,253,7,6,54,0,1,253.0,253.0,54.0,54.0
01_Jazz3-150-C_solo_01.npz,solo,218,21,8,54,6,2,218,21,8,54,6,2,218.0,218.0,54.0,54.0
05_SS1-68-E_solo_01.npz,solo,267,88,41,30,10,5,267,88,41,30,10,5,267.0,267.0,30.0,30.0
04_Funk3-98-A_comp_02.npz,comp,657,202,174,101,41,29,693,161,138,107,35,23,657.0,693.0,101.0,107.0
03_Rock3-117-Bb_solo_03.npz,solo,371,37,23,71,7,3,371,37,23,71,7,3,371.0,371.0,71.0,71.0
05_BN1-129-Eb_comp_02.npz,comp,636,67,120,130,20,20,636,67,120,130,20,20,636.0,636.0,130.0,130.0
04_BN3-154-E_solo_02.npz,solo,148,62,58,36,15,15,179,24,13,45,6,3,148.0,179.0,36.0,45.0
05_Funk1-114-Ab_comp_00.npz,comp,380,119,76,71,23,6,392,107,64,71,22,6,380.0,392.0,71.0,71.0
04_SS1-68-E_comp_01.npz,comp,2669,568,207,287,58,21,2670,567,206,287,58,21,2669.0,2670.0,287.0,287.0
04_Funk3-98-A_solo_00.npz,solo,287,19,7,42,7,2,287,19,7,42,7,2,287.0,287.0,42.0,42.0
01_BN3-154-E_comp_02.npz,comp,421,50,49,99,12,14,421,44,42,99,12,13,421.0,421.0,99.0,99.0
04_BN3-154-E_comp_02.npz,comp,107,285,285,28,78,69,109,283,283,30,76,67,107.0,109.0,28.0,30.0
02_Rock1-90-C#_solo_01.npz,solo,392,16,12,58,1,1,392,16,12,58,1,1,392.0,392.0,58.0,58.0
03_Jazz3-137-Eb_comp_02.npz,comp,367,20,21,79,6,6,367,20,21,79,6,6,367.0,367.0,79.0,79.0
05_SS1-68-E_comp_00.npz,comp,1436,378,11,150,61,0,1436,378,11,150,61,0,1436.0,1436.0,150.0,150.0
01_BN1-129-Eb_solo_02.npz,solo,255,6,5,54,4,3,255,6,5,54,4,3,255.0,255.0,54.0,54.0
05_BN1-129-Eb_solo_00.npz,solo,184,84,74,36,20,16,245,23,13,48,8,4,184.0,245.0,36.0,48.0
01_BN3-119-G_comp_02.npz,comp,512,35,35,100,14,2,514,33,33,100,14,2,512.0,514.0,100.0,100.0
05_SS1-100-C#_solo_01.npz,solo,220,41,7,36,5,1,220,41,7,36,5,1,220.0,220.0,36.0,36.0
02_BN1-147-Gb_solo_00.npz,solo,232,13,9,57,2,2,240,5,1,59,0,0,232.0,240.0,57.0,59.0
03_Jazz3-137-Eb_solo_01.npz,solo,222,13,15,47,6,3,227,8,10,48,5,2,222.0,227.0,47.0,48.0
05_BN1-129-Eb_solo_02.npz,solo,160,51,86,33,13,16,174,37,72,36,10,13,160.0,174.0,33.0,36.0
03_BN1-129-Eb_comp_02.npz,comp,572,107,85,123,33,15,572,107,85,123,33,15,572.0,572.0,123.0,123.0
03_Rock1-130-A_comp_01.npz,comp,679,197,145,140,42,33,684,191,140,142,40,31,679.0,684.0,140.0,142.0
05_Funk1-114-Ab_comp_01.npz,comp,364,119,100,72,23,16,366,114,98,72,23,16,364.0,366.0,72.0,72.0
05_SS1-68-E_comp_01.npz,comp,1330,327,93,142,47,11,1330,327,93,142,47,11,1330.0,1330.0,142.0,142.0
03_Funk2-108-Eb_comp_01.npz,comp,752,67,114,140,8,13,752,63,114,140,8,13,752.0,752.0,140.0,140.0
05_BN3-154-E_solo_02.npz,solo,116,41,11,27,14,4,116,29,11,27,11,4,116.0,116.0,27.0,27.0
01_Funk2-119-G_solo_00.npz,solo,230,19,16,46,3,2,230,19,16,46,3,2,230.0,230.0,46.0,46.0
01_BN1-129-Eb_solo_01.npz,solo,155,77,39,32,19,6,172,59,22,35,13,3,155.0,172.0,32.0,35.0
01_Jazz1-200-B_solo_02.npz,solo,153,23,42,53,5,11,157,15,38,53,4,11,153.0,157.0,53.0,53.0
02_Rock1-90-C#_solo_00.npz,solo,413,12,13,61,1,0,413,12,13,61,1,0,413.0,413.0,61.0,61.0
02_BN3-154-E_comp_00.npz,comp,620,148,132,151,43,33,626,141,126,152,42,32,620.0,626.0,151.0,152.0
01_BN3-119-G_comp_01.npz,comp,340,145,190,63,25,37,447,38,83,81,7,19,340.0,447.0,63.0,81.0
01_BN3-154-E_solo_02.npz,solo,314,46,73,82,13,11,331,26,56,85,9,8,314.0,331.0,82.0,85.0
00_Rock1-130-A_solo_01.npz,solo,141,244,282,33,47,57,354,24,62,75,3,14,141.0,354.0,33.0,75.0
01_BN1-129-Eb_comp_02.npz,comp,653,161,29,134,38,7,653,161,29,134,38,7,653.0,653.0,134.0,134.0
05_SS1-100-C#_solo_02.npz,solo,237,113,49,38,20,4,252,88,24,38,16,3,237.0,252.0,38.0,38.0
03_Funk1-114-Ab_comp_01.npz,comp,422,177,323,68,35,72,481,66,264,88,14,52,422.0,481.0,68.0,88.0
01_Rock1-130-A_comp_00.npz,comp,650,150,63,136,25,11,650,150,63,136,25,11,650.0,650.0,136.0,136.0
01_Funk2-119-G_solo_03.npz,solo,187,25,16,38,17,2,187,25,16,38,17,2,187.0,187.0,38.0,38.0
02_BN3-154-E_solo_03.npz,solo,157,110,96,29,37,29,228,24,25,46,17,12,157.0,228.0,29.0,46.0
03_Rock3-117-Bb_solo_02.npz,solo,226,113,159,43,21,30,301,30,75,57,6,15,226.0,301.0,43.0,57.0
02_Rock1-90-C#_comp_00.npz,comp,680,149,79,96,21,11,697,132,62,98,19,9,680.0,697.0,96.0,98.0
05_Funk1-114-Ab_solo_00.npz,solo,134,29,19,24,6,5,141,22,12,26,4,3,134.0,141.0,24.0,26.0
05_SS1-100-C#_solo_00.npz,solo,193,120,4,28,21,1,193,120,4,28,21,1,193.0,193.0,28.0,28.0
04_SS1-68-E_solo_02.npz,solo,368,132,91,43,15,9,440,52,19,51,7,1,368.0,440.0,43.0,51.0
03_BN2-166-Ab_solo_01.npz,solo,150,15,9,40,7,2,150,15,9,40,7,2,150.0,150.0,40.0,40.0
