subset,metric,mean,std,ci95_lo,ci95_hi
all,frame_p,0.828,0.007,0.814,0.843
all,frame_r,0.848,0.011,0.825,0.869
all,frame_f1,0.838,0.009,0.82,0.854
all,note_p,0.814,0.009,0.796,0.831
all,note_r,0.84,0.012,0.816,0.862
all,note_f1,0.827,0.01,0.807,0.844
all,frameF0_p,0.855,0.006,0.842,0.867
all,frameF0_r,0.872,0.009,0.853,0.889
all,frameF0_f1,0.863,0.007,0.85,0.876
all,noteF0_p,0.838,0.007,0.824,0.852
all,noteF0_r,0.861,0.009,0.842,0.878
all,noteF0_f1,0.849,0.007,0.835,0.863
all,frame_tdr,0.976,0.004,0.967,0.984
all,note_tdr,0.978,0.005,0.967,0.987
solo,frame_p,0.854,0.01,0.834,0.872
solo,frame_r,0.878,0.01,0.858,0.896
solo,frame_f1,0.866,0.009,0.848,0.882
solo,note_p,0.84,0.01,0.819,0.859
solo,note_r,0.878,0.01,0.857,0.897
solo,note_f1,0.859,0.009,0.84,0.876
solo,frameF0_p,0.883,0.008,0.867,0.898
solo,frameF0_r,0.906,0.008,0.89,0.92
solo,frameF0_f1,0.894,0.006,0.882,0.906
solo,noteF0_p,0.865,0.008,0.848,0.881
solo,noteF0_r,0.902,0.009,0.883,0.918
solo,noteF0_f1,0.883,0.007,0.868,0.897
solo,frame_tdr,0.975,0.005,0.964,0.984
solo,note_tdr,0.979,0.005,0.967,0.987
comp,frame_p,0.82,0.01,0.8,0.838
comp,frame_r,0.837,0.015,0.806,0.865
comp,frame_f1,0.828,0.012,0.804,0.85
comp,note_p,0.804,0.012,0.78,0.826
comp,note_r,0.826,0.016,0.793,0.854
comp,note_f1,0.815,0.013,0.788,0.838
comp,frameF0_p,0.845,0.008,0.828,0.861
comp,frameF0_r,0.86,0.012,0.835,0.883
comp,frameF0_f1,0.852,0.009,0.834,0.869
comp,noteF0_p,0.829,0.01,0.809,0.847
comp,noteF0_r,0.846,0.013,0.82,0.869
comp,noteF0_f1,0.837,0.01,0.817,0.855
comp,frame_tdr,0.976,0.006,0.964,0.986
comp,note_tdr,0.977,0.007,0.963,0.989
