file,subset,frame_tp,frame_fp,frame_fn,frameF0_tp,frameF0_fp,frameF0_fn,frame_tdr_num,frame_tdr_den,note_p,note_r,note_f1,noteF0_p,noteF0_r,noteF0_f1,note_tdr
04_Rock1-130-A_solo_01.npz,solo,238,30,55,238,30,55,238.0,238.0,0.7924528301886793,0.7368421052631579,0.7636363636363637,0.7924528301886793,0.7368421052631579,0.7636363636363637,1.0
03_Funk1-114-Ab_solo_02.npz,solo,270,34,52,273,25,49,270.0,273.0,0.8166666666666667,0.8305084745762712,0.8235294117647058,0.8305084745762712,0.8305084745762712,0.8305084745762712,1.0
01_Jazz3-150-C_solo_00.npz,solo,216,12,17,216,12,17,216.0,216.0,0.8771929824561403,0.9615384615384616,0.9174311926605505,0.8771929824561403,0.9615384615384616,0.9174311926605505,1.0
03_Funk2-108-Eb_solo_00.npz,solo,223,28,26,224,21,14,223.0,224.0,0.8372093023255814,0.9230769230769231,0.8780487804878049,0.8571428571428571,0.972972972972973,0.9113924050632911,1.0
01_BN3-119-G_solo_03.npz,solo,269,69,37,296,16,10,269.0,296.0,0.7761194029850746,0.9122807017543859,0.8387096774193549,0.9193548387096774,1.0,0.957983193277311,0.9122807017543859
03_Jazz1-130-D_comp_02.npz,comp,437,53,31,437,53,31,437.0,437.0,0.8811881188118812,0.956989247311828,0.9175257731958762,0.8811881188118812,0.956989247311828,0.9175257731958762,1.0
03_Jazz3-137-Eb_solo_03.npz,solo,254,11,18,254,11,18,254.0,254.0,0.7936507936507936,0.8620689655172413,0.8264462809917356,0.7936507936507936,0.8620689655172413,0.8264462809917356,1.0
03_BN1-129-Eb_solo_02.npz,solo,236,24,16,248,12,4,236.0,248.0,0.8571428571428571,0.96,0.9056603773584906,0.9090909090909091,1.0,0.9523809523809523,0.96
04_SS1-68-E_comp_00.npz,comp,3297,301,46,3298,300,22,3297.0,3298.0,0.9204244031830239,0.9830028328611898,0.9506849315068493,0.9204244031830239,0.9857954545454546,0.9519890260631001,1.0
04_Funk3-98-A_comp_00.npz,comp,638,75,99,641,69,96,638.0,641.0,0.8782608695652174,0.8938053097345132,0.8859649122807017,0.8782608695652174,0.8938053097345132,0.8859649122807017,1.0
00_BN1-129-Eb_comp_01.npz,comp,708,97,114,708,97,114,708.0,708.0,0.8728323699421965,0.8728323699421965,0.8728323699421965,0.8728323699421965,0.8728323699421965,0.8728323699421965,1.0
03_Rock3-117-Bb_comp_00.npz,comp,582,90,72,582,90,72,582.0,582.0,0.8615384615384616,0.8888888888888888,0.875,0.8615384615384616,0.8888888888888888,0.875,1.0
01_Jazz3-150-C_comp_02.npz,comp,273,41,57,277,36,53,273.0,277.0,0.8888888888888888,0.8311688311688312,0.8590604026845637,0.8888888888888888,0.8311688311688312,0.8590604026845637,1.0
01_Jazz3-150-C_comp_03.npz,comp,311,45,49,314,42,46,311.0,314.0,0.8375,0.8271604938271605,0.8322981366459627,0.8375,0.8271604938271605,0.8322981366459627,1.0
03_BN1-129-Eb_solo_01.npz,solo,255,17,12,255,17,12,255.0,255.0,0.896551724137931,0.9454545454545454,0.9203539823008849,0.896551724137931,0.9454545454545454,0.9203539823008849,1.0
03_Jazz1-130-D_solo_00.npz,solo,209,12,9,209,12,9,209.0,209.0,0.851063829787234,0.975609756097561,0.9090909090909091,0.851063829787234,0.975609756097561,0.9090909090909091,1.0
00_Funk1-114-Ab_comp_01.npz,comp,694,203,176,700,197,170,694.0,700.0,0.7953216374269005,0.8047337278106509,0.8,0.7953216374269005,0.8047337278106509,0.8,1.0
05_BN3-154-E_solo_03.npz,solo,179,40,8,179,40,8,179.0,179.0,0.6923076923076923,0.8780487804878049,0.7741935483870968,0.6923076923076923,0.8780487804878049,0.7741935483870968,1.0
