subset,metric,mean,std,ci95_lo,ci95_hi
all,frame_p,0.876,0.006,0.864,0.888
all,frame_r,0.908,0.007,0.894,0.92
all,frame_f1,0.892,0.006,0.88,0.903
all,frameF0_p,0.877,0.006,0.864,0.889
all,frameF0_r,0.91,0.007,0.896,0.922
all,frameF0_f1,0.893,0.006,0.881,0.904
all,note_p,0.856,0.007,0.842,0.87
all,note_r,0.902,0.007,0.888,0.914
all,note_f1,0.876,0.007,0.862,0.889
all,noteF0_p,0.857,0.007,0.842,0.87
all,noteF0_r,0.905,0.007,0.891,0.917
all,noteF0_f1,0.878,0.007,0.865,0.89
all,note_tdr,1.0,0.0,1.0,1.0
all,frame_tdr,1.001,0.0,1.0,1.002
solo,frame_p,0.893,0.008,0.878,0.908
solo,frame_r,0.926,0.007,0.912,0.938
solo,frame_f1,0.909,0.006,0.897,0.92
solo,frameF0_p,0.895,0.008,0.88,0.909
solo,frameF0_r,0.93,0.006,0.917,0.942
solo,frameF0_f1,0.913,0.006,0.901,0.923
solo,note_p,0.861,0.009,0.843,0.878
solo,note_r,0.923,0.007,0.908,0.937
solo,note_f1,0.888,0.007,0.873,0.902
solo,noteF0_p,0.862,0.009,0.843,0.879
solo,noteF0_r,0.927,0.007,0.913,0.941
solo,noteF0_f1,0.891,0.007,0.876,0.905
solo,note_tdr,1.0,0.0,0.999,1.001
solo,frame_tdr,1.001,0.001,1.0,1.004
comp,frame_p,0.871,0.008,0.854,0.885
comp,frame_r,0.901,0.009,0.882,0.917
comp,frame_f1,0.885,0.008,0.869,0.9
comp,frameF0_p,0.871,0.008,0.853,0.885
comp,frameF0_r,0.903,0.009,0.884,0.919
comp,frameF0_f1,0.886,0.008,0.869,0.901
comp,note_p,0.852,0.011,0.828,0.872
comp,note_r,0.881,0.012,0.856,0.902
comp,note_f1,0.865,0.011,0.841,0.884
comp,noteF0_p,0.852,0.011,0.829,0.872
comp,noteF0_r,0.881,0.011,0.858,0.903
comp,noteF0_f1,0.865,0.011,0.842,0.885
comp,note_tdr,1.0,0.0,0.999,1.0
comp,frame_tdr,1.0,0.001,1.0,1.002
