file,subset,frame_tp,frame_fp,frame_fn,frameF0_tp,frameF0_fp,frameF0_fn,frame_tdr_num,frame_tdr_den,note_p,note_r,note_f1,noteF0_p,noteF0_r,noteF0_f1,note_tdr
04_Rock1-130-A_solo_01.npz,solo,245,49,48,246,48,47,245.0,246.0,0.6984126984126984,0.7719298245614035,0.7333333333333333,0.6984126984126984,0.7719298245614035,0.7333333333333333,1.0
03_Funk1-114-Ab_solo_02.npz,solo,283,19,39,283,19,39,283.0,283.0,0.8,0.8135593220338984,0.8067226890756303,0.8,0.8135593220338984,0.8067226890756303,1.0
01_Jazz3-150-C_solo_00.npz,solo,219,7,14,219,7,14,219.0,219.0,0.8771929824561403,0.9615384615384616,0.9174311926605505,0.8771929824561403,0.9615384615384616,0.9174311926605505,1.0
03_Funk2-108-Eb_solo_00.npz,solo,227,16,22,227,16,11,227.0,227.0,0.8809523809523809,0.9487179487179487,0.9135802469135802,0.8809523809523809,1.0,0.9367088607594937,1.0
01_BN3-119-G_solo_03.npz,solo,300,14,6,300,14,6,300.0,300.0,0.9193548387096774,1.0,0.957983193277311,0.9193548387096774,1.0,0.957983193277311,1.0
03_Jazz1-130-D_comp_02.npz,comp,457,56,11,457,56,11,457.0,457.0,0.8598130841121495,0.989247311827957,0.92,0.8598130841121495,0.989247311827957,0.92,1.0
03_Jazz3-137-Eb_solo_03.npz,solo,260,7,12,260,7,12,260.0,260.0,0.84375,0.9310344827586207,0.8852459016393442,0.84375,0.9310344827586207,0.8852459016393442,1.0
03_BN1-129-Eb_solo_02.npz,solo,249,8,3,249,8,3,249.0,249.0,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909091,1.0,0.9523809523809523,1.0
04_SS1-68-E_comp_00.npz,comp,3276,304,67,3277,303,43,3276.0,3277.0,0.918848167539267,0.9943342776203966,0.9551020408163265,0.918848167539267,0.9971590909090909,0.9564032697547684,1.0
04_Funk3-98-A_comp_00.npz,comp,678,83,59,678,83,59,678.0,678.0,0.896551724137931,0.9203539823008849,0.9082969432314411,0.896551724137931,0.9203539823008849,0.9082969432314411,1.0
00_BN1-129-Eb_comp_01.npz,comp,751,102,71,751,102,71,751.0,751.0,0.875,0.930635838150289,0.9019607843137255,0.875,0.930635838150289,0.9019607843137255,1.0
03_Rock3-117-Bb_comp_00.npz,comp,606,64,48,606,64,48,606.0,606.0,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.9069767441860465,0.9285714285714286,0.9176470588235294,1.0
01_Jazz3-150-C_comp_02.npz,comp,286,22,44,286,22,44,286.0,286.0,0.8857142857142857,0.8051948051948052,0.8435374149659864,0.8857142857142857,0.8051948051948052,0.8435374149659864,1.0
01_Jazz3-150-C_comp_03.npz,comp,311,31,49,311,31,49,311.0,311.0,0.8354430379746836,0.8148148148148148,0.825,0.8354430379746836,0.8148148148148148,0.825,1.0
03_BN1-129-Eb_solo_01.npz,solo,260,11,7,260,11,7,260.0,260.0,0.9137931034482759,0.9636363636363636,0.9380530973451328,0.9137931034482759,0.9636363636363636,0.9380530973451328,1.0
03_Jazz1-130-D_solo_00.npz,solo,210,10,8,210,10,8,210.0,210.0,0.8333333333333334,0.975609756097561,0.898876404494382,0.8333333333333334,0.975609756097561,0.898876404494382,1.0
00_Funk1-114-Ab_comp_01.npz,comp,773,128,97,773,128,97,773.0,773.0,0.8333333333333334,0.8875739644970414,0.8595988538681948,0.8333333333333334,0.8875739644970414,0.8595988538681948,1.0
05_BN3-154-E_solo_03.npz,solo,177,27,10,177,27,10,177.0,177.0,0.6981132075471698,0.9024390243902439,0.7872340425531915,0.6981132075471698,0.9024390243902439,0.7872340425531915,1.0
03_Rock3-117-Bb_comp_02.npz,comp,664,52,65,664,52,65,664.0,664.0,0.920863309352518,0.8888888888888888,0.9045936395759717,0.920863309352518,0.8888888888888888,0.9045936395759717,1.0
04_Rock1-130-A_comp_02.npz,comp,524,52,155,524,52,137,524.0,524.0,0.9274193548387096,0.777027027027027,0.8455882352941176,0.9274193548387096,0.8041958041958042,0.8614232209737828,1.0
05_Funk1-114-Ab_solo_02.npz,solo,97,45,20,97,45,20,97.0,97.0,0.5769230769230769,0.6818181818181818,0.625,0.5769230769230769,0.6818181818181818,0.625,1.0
00_Jazz2-110-Bb_comp_00.npz,comp,1129,259,154,1129,259,154,1129.0,1129.0,0.7786885245901639,0.8755760368663594,0.824295010845987,0.7786885245901639,0.8755760368663594,0.824295010845987,1.0
05_BN3-154-E_comp_00.npz,comp,485,22,57,485,22,57,485.0,485.0,0.9652173913043478,0.8604651162790697,0.9098360655737705,0.9652173913043478,0.8604651162790697,0.9098360655737705,1.0
01_Jazz1-200-B_solo_00.npz,solo,147,22,14,147,22,14,147.0,147.0,0.9090909090909091,0.9259259259259259,0.9174311926605505,0.9090909090909091,0.9259259259259259,0.9174311926605505,1.0
02_BN1-147-Gb_solo_01.npz,solo,172,9,20,172,9,20,172.0,172.0,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.9534883720930233,0.9111111111111111,0.9318181818181818,1.0
00_Jazz2-110-Bb_solo_03.npz,solo,361,20,21,361,20,21,361.0,361.0,0.9552238805970149,0.9696969696969697,0.9624060150375939,0.9552238805970149,0.9696969696969697,0.9624060150375939,1.0
01_Jazz3-150-C_solo_03.npz,solo,225,21,14,225,21,14,225.0,225.0,0.7966101694915254,0.8545454545454545,0.8245614035087719,0.7966101694915254,0.8545454545454545,0.8245614035087719,1.0
01_BN3-119-G_comp_03.npz,comp,501,34,74,501,34,74,501.0,501.0,0.8867924528301887,0.8468468468468469,0.8663594470046083,0.8867924528301887,0.8468468468468469,0.8663594470046083,1.0
04_Funk3-98-A_solo_02.npz,solo,269,29,11,269,29,11,269.0,269.0,0.8775510204081632,0.9772727272727273,0.9247311827956989,0.8775510204081632,0.9772727272727273,0.9247311827956989,1.0
04_SS1-68-E_comp_02.npz,comp,2925,176,166,2882,173,97,2925.0,2882.0,0.9363636363636364,0.939209726443769,0.9377845220030349,0.9357798165137615,0.9622641509433962,0.9488372093023256,1.0098039215686274
03_BN1-129-Eb_solo_00.npz,solo,201,13,9,201,13,9,201.0,201.0,0.9565217391304348,0.9361702127659575,0.946236559139785,0.9565217391304348,0.9361702127659575,0.946236559139785,1.0
01_Jazz1-200-B_comp_02.npz,comp,400,60,44,400,60,44,400.0,400.0,0.8905109489051095,0.8714285714285714,0.8808664259927798,0.8905109489051095,0.8714285714285714,0.8808664259927798,1.0
03_BN1-129-Eb_comp_01.npz,comp,653,62,27,653,62,27,653.0,653.0,0.9066666666666666,0.9645390070921985,0.9347079037800687,0.9066666666666666,0.9645390070921985,0.9347079037800687,1.0
01_BN3-154-E_comp_03.npz,comp,629,89,36,629,89,36,629.0,629.0,0.8662790697674418,0.9085365853658537,0.8869047619047619,0.8662790697674418,0.9085365853658537,0.8869047619047619,1.0
05_SS1-68-E_solo_00.npz,solo,336,125,18,336,125,18,336.0,336.0,0.7254901960784313,0.925,0.8131868131868132,0.7254901960784313,0.925,0.8131868131868132,1.0
02_Rock1-90-C#_solo_02.npz,solo,498,37,28,498,37,28,498.0,498.0,0.9230769230769231,0.935064935064935,0.9290322580645162,0.9230769230769231,0.935064935064935,0.9290322580645162,1.0
01_Jazz3-150-C_comp_00.npz,comp,231,58,51,231,58,51,231.0,231.0,0.8873239436619719,0.863013698630137,0.875,0.9,0.863013698630137,0.8811188811188811,1.0
00_Jazz2-110-Bb_comp_02.npz,comp,1209,241,127,1209,241,127,1209.0,1209.0,0.8380566801619433,0.915929203539823,0.8752642706131079,0.8380566801619433,0.915929203539823,0.8752642706131079,1.0
01_Funk2-119-G_comp_03.npz,comp,331,86,59,331,86,59,331.0,331.0,0.797752808988764,0.8765432098765432,0.8352941176470589,0.797752808988764,0.8765432098765432,0.8352941176470589,1.0
03_Funk1-114-Ab_comp_02.npz,comp,602,67,88,602,67,88,602.0,602.0,0.8382352941176471,0.890625,0.8636363636363636,0.8382352941176471,0.890625,0.8636363636363636,1.0
03_Rock1-130-A_solo_00.npz,solo,127,46,5,127,46,5,127.0,127.0,0.7105263157894737,0.9310344827586207,0.8059701492537313,0.7105263157894737,0.9310344827586207,0.8059701492537313,1.0
01_Jazz1-200-B_comp_00.npz,comp,437,64,40,437,64,40,437.0,437.0,0.8766233766233766,0.9183673469387755,0.8970099667774086,0.8766233766233766,0.9183673469387755,0.8970099667774086,1.0
03_Funk2-108-Eb_comp_02.npz,comp,689,68,79,689,68,79,689.0,689.0,0.9296875,0.8623188405797102,0.8947368421052632,0.9296875,0.8623188405797102,0.8947368421052632,1.0
01_Jazz1-200-B_solo_01.npz,solo,155,34,29,155,34,29,155.0,155.0,0.7878787878787878,0.8524590163934426,0.8188976377952756,0.7878787878787878,0.8524590163934426,0.8188976377952756,1.0
02_BN1-147-Gb_comp_00.npz,comp,575,208,209,575,208,209,575.0,575.0,0.9095744680851063,0.9395604395604396,0.9243243243243243,0.9095744680851063,0.9395604395604396,0.9243243243243243,1.0
02_Rock1-90-C#_comp_02.npz,comp,942,313,230,942,313,205,942.0,942.0,0.654054054054054,0.7245508982035929,0.6875,0.654054054054054,0.7378048780487805,0.6934097421203438,1.0
01_Funk2-119-G_solo_02.npz,solo,265,40,46,265,40,46,265.0,265.0,0.8253968253968254,0.8387096774193549,0.832,0.8253968253968254,0.8387096774193549,0.832,1.0
02_BN3-154-E_comp_03.npz,comp,643,97,91,643,97,91,643.0,643.0,0.8663101604278075,0.8756756756756757,0.8709677419354839,0.8663101604278075,0.8756756756756757,0.8709677419354839,1.0
01_BN3-154-E_comp_01.npz,comp,554,67,25,554,67,25,554.0,554.0,0.9103448275862069,0.9635036496350365,0.9361702127659575,0.9103448275862069,0.9635036496350365,0.9361702127659575,1.0
04_SS1-68-E_solo_01.npz,solo,455,79,20,431,78,16,455.0,431.0,0.8771929824561403,0.9803921568627451,0.9259259259259259,0.875,1.0,0.9333333333333333,1.0204081632653061
03_Jazz3-137-Eb_solo_00.npz,solo,239,13,11,239,13,11,239.0,239.0,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8571428571428571,0.9230769230769231,0.8888888888888888,1.0
01_Rock1-130-A_solo_02.npz,solo,234,49,41,240,43,28,234.0,240.0,0.828125,0.8983050847457628,0.8617886178861789,0.84375,0.9310344827586207,0.8852459016393442,0.9814814814814815
03_Jazz3-137-Eb_comp_03.npz,comp,453,99,117,453,99,117,453.0,453.0,0.7475728155339806,0.6581196581196581,0.7,0.7475728155339806,0.6581196581196581,0.7,1.0
01_BN3-119-G_comp_00.npz,comp,383,36,35,383,36,35,383.0,383.0,0.9047619047619048,0.926829268292683,0.9156626506024096,0.9047619047619048,0.926829268292683,0.9156626506024096,1.0
01_BN1-129-Eb_solo_00.npz,solo,252,5,7,252,5,7,252.0,252.0,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,1.0
01_Jazz3-150-C_solo_01.npz,solo,213,23,13,213,23,13,213.0,213.0,0.8688524590163934,0.9464285714285714,0.905982905982906,0.8688524590163934,0.9464285714285714,0.905982905982906,1.0
05_SS1-68-E_solo_01.npz,solo,279,93,29,279,93,29,279.0,279.0,0.6976744186046512,0.8571428571428571,0.7692307692307693,0.6976744186046512,0.8571428571428571,0.7692307692307693,1.0
04_Funk3-98-A_comp_02.npz,comp,775,148,56,775,148,56,775.0,775.0,0.8321678321678322,0.9153846153846154,0.8717948717948718,0.8321678321678322,0.9153846153846154,0.8717948717948718,1.0
03_Rock3-117-Bb_solo_03.npz,solo,378,54,16,378,54,16,378.0,378.0,0.8452380952380952,0.9594594594594594,0.8987341772151899,0.8452380952380952,0.9594594594594594,0.8987341772151899,1.0
05_BN1-129-Eb_comp_02.npz,comp,672,71,84,672,71,84,672.0,672.0,0.8662420382165605,0.9066666666666666,0.8859934853420195,0.8662420382165605,0.9066666666666666,0.8859934853420195,1.0
04_BN3-154-E_solo_02.npz,solo,195,33,11,184,32,8,195.0,184.0,0.8727272727272727,0.9411764705882353,0.9056603773584906,0.8867924528301887,0.9791666666666666,0.9306930693069307,1.0212765957446808
05_Funk1-114-Ab_comp_00.npz,comp,410,89,46,410,89,46,410.0,410.0,0.8021978021978022,0.948051948051948,0.8690476190476191,0.8021978021978022,0.948051948051948,0.8690476190476191,1.0
04_SS1-68-E_comp_01.npz,comp,2715,491,161,2716,489,160,2715.0,2716.0,0.8738461538461538,0.922077922077922,0.8973143759873617,0.8738461538461538,0.922077922077922,0.8973143759873617,1.0
04_Funk3-98-A_solo_00.npz,solo,288,18,6,288,18,6,288.0,288.0,0.86,0.9772727272727273,0.9148936170212766,0.86,0.9772727272727273,0.9148936170212766,1.0
01_BN3-154-E_comp_02.npz,comp,435,56,35,435,56,28,435.0,435.0,0.8666666666666667,0.9203539823008849,0.8927038626609443,0.8666666666666667,0.9285714285714286,0.896551724137931,1.0
04_BN3-154-E_comp_02.npz,comp,115,327,277,115,327,277,115.0,115.0,0.2608695652173913,0.30927835051546393,0.2830188679245283,0.2608695652173913,0.30927835051546393,0.2830188679245283,1.0
02_Rock1-90-C#_solo_01.npz,solo,388,19,16,388,19,16,388.0,388.0,0.9666666666666667,0.9830508474576272,0.9747899159663865,0.9666666666666667,0.9830508474576272,0.9747899159663865,1.0
03_Jazz3-137-Eb_comp_02.npz,comp,372,31,16,372,31,16,372.0,372.0,0.9080459770114943,0.9294117647058824,0.9186046511627907,0.9080459770114943,0.9294117647058824,0.9186046511627907,1.0
05_SS1-68-E_comp_00.npz,comp,1437,127,10,1437,127,10,1437.0,1437.0,0.8764705882352941,0.9933333333333333,0.93125,0.8764705882352941,0.9933333333333333,0.93125,1.0
01_BN1-129-Eb_solo_02.npz,solo,257,8,3,257,8,3,257.0,257.0,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,1.0
05_BN1-129-Eb_solo_00.npz,solo,252,24,6,252,24,6,252.0,252.0,0.8793103448275862,0.9807692307692307,0.9272727272727272,0.8793103448275862,0.9807692307692307,0.9272727272727272,1.0
01_BN3-119-G_comp_02.npz,comp,518,53,29,518,53,29,518.0,518.0,0.8461538461538461,0.9705882352941176,0.9041095890410958,0.8461538461538461,0.9705882352941176,0.9041095890410958,1.0
05_SS1-100-C#_solo_01.npz,solo,223,40,4,223,40,4,223.0,223.0,0.8809523809523809,1.0,0.9367088607594937,0.8809523809523809,1.0,0.9367088607594937,1.0
02_BN1-147-Gb_solo_00.npz,solo,238,15,3,238,15,3,238.0,238.0,0.9833333333333333,1.0,0.9915966386554622,0.9833333333333333,1.0,0.9915966386554622,1.0
03_Jazz3-137-Eb_solo_01.npz,solo,234,9,3,234,9,3,234.0,234.0,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909091,1.0,0.9523809523809523,1.0
05_BN1-129-Eb_solo_02.npz,solo,209,15,37,209,15,37,209.0,209.0,0.8936170212765957,0.8571428571428571,0.875,0.8936170212765957,0.8571428571428571,0.875,1.0
03_BN1-129-Eb_comp_02.npz,comp,631,55,26,631,55,26,631.0,631.0,0.8767123287671232,0.927536231884058,0.9014084507042254,0.8767123287671232,0.927536231884058,0.9014084507042254,1.0
03_Rock1-130-A_comp_01.npz,comp,695,170,129,695,170,129,695.0,695.0,0.8044692737430168,0.8323699421965318,0.8181818181818182,0.8044692737430168,0.8323699421965318,0.8181818181818182,1.0
05_Funk1-114-Ab_comp_01.npz,comp,418,115,46,418,115,46,418.0,418.0,0.7941176470588235,0.9204545454545454,0.8526315789473684,0.7941176470588235,0.9204545454545454,0.8526315789473684,1.0
05_SS1-68-E_comp_01.npz,comp,1316,195,107,1316,195,107,1316.0,1316.0,0.8588957055214724,0.9150326797385621,0.8860759493670886,0.8588957055214724,0.9150326797385621,0.8860759493670886,1.0
03_Funk2-108-Eb_comp_01.npz,comp,775,100,91,775,100,91,775.0,775.0,0.9261744966442953,0.9019607843137255,0.9139072847682119,0.9261744966442953,0.9019607843137255,0.9139072847682119,1.0
05_BN3-154-E_solo_02.npz,solo,120,55,7,120,55,7,120.0,120.0,0.6046511627906976,0.8387096774193549,0.7027027027027027,0.6046511627906976,0.8387096774193549,0.7027027027027027,1.0
01_Funk2-119-G_solo_00.npz,solo,231,25,15,231,25,15,231.0,231.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0
01_BN1-129-Eb_solo_01.npz,solo,176,60,18,176,60,18,176.0,176.0,0.7346938775510204,0.9473684210526315,0.8275862068965517,0.7346938775510204,0.9473684210526315,0.8275862068965517,1.0
01_Jazz1-200-B_solo_02.npz,solo,175,23,20,175,23,20,175.0,175.0,0.8939393939393939,0.921875,0.9076923076923077,0.8939393939393939,0.921875,0.9076923076923077,1.0
02_Rock1-90-C#_solo_00.npz,solo,415,12,11,415,12,11,415.0,415.0,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,1.0
02_BN3-154-E_comp_00.npz,comp,687,93,65,687,93,65,687.0,687.0,0.8542713567839196,0.9239130434782609,0.8877284595300261,0.8542713567839196,0.9239130434782609,0.8877284595300261,1.0
01_BN3-119-G_comp_01.npz,comp,453,74,77,453,74,77,453.0,453.0,0.9139784946236559,0.85,0.8808290155440415,0.9139784946236559,0.85,0.8808290155440415,1.0
01_BN3-154-E_solo_02.npz,solo,375,27,12,375,27,12,375.0,375.0,0.8921568627450981,0.978494623655914,0.9333333333333333,0.8921568627450981,0.978494623655914,0.9333333333333333,1.0
