subset,metric,mean,std,ci95_lo,ci95_hi
all,frame_p,0.864,0.007,0.851,0.877
all,frame_r,0.857,0.008,0.839,0.873
all,frame_f1,0.861,0.007,0.847,0.873
all,frameF0_p,0.876,0.006,0.863,0.888
all,frameF0_r,0.868,0.007,0.853,0.882
all,frameF0_f1,0.872,0.006,0.86,0.883
all,note_p,0.851,0.007,0.836,0.865
all,note_r,0.864,0.008,0.848,0.878
all,note_f1,0.854,0.007,0.84,0.867
all,noteF0_p,0.862,0.007,0.847,0.875
all,noteF0_r,0.874,0.007,0.859,0.888
all,noteF0_f1,0.865,0.006,0.852,0.876
all,note_tdr,0.99,0.003,0.984,0.995
all,frame_tdr,0.99,0.002,0.985,0.994
solo,frame_p,0.894,0.01,0.874,0.911
solo,frame_r,0.9,0.008,0.882,0.916
solo,frame_f1,0.897,0.008,0.88,0.911
solo,frameF0_p,0.904,0.007,0.889,0.917
solo,frameF0_r,0.911,0.007,0.898,0.924
solo,frameF0_f1,0.908,0.005,0.897,0.918
solo,note_p,0.866,0.009,0.848,0.884
solo,note_r,0.899,0.009,0.881,0.916
solo,note_f1,0.88,0.008,0.864,0.895
solo,noteF0_p,0.875,0.008,0.858,0.891
solo,noteF0_r,0.91,0.008,0.894,0.924
solo,noteF0_f1,0.89,0.007,0.876,0.903
solo,note_tdr,0.993,0.004,0.984,0.999
solo,frame_tdr,0.993,0.005,0.983,0.999
comp,frame_p,0.854,0.009,0.836,0.87
comp,frame_r,0.842,0.011,0.819,0.863
comp,frame_f1,0.848,0.009,0.829,0.865
comp,frameF0_p,0.866,0.008,0.849,0.881
comp,frameF0_r,0.853,0.01,0.832,0.872
comp,frameF0_f1,0.859,0.008,0.842,0.874
comp,note_p,0.836,0.011,0.812,0.857
comp,note_r,0.828,0.013,0.801,0.852
comp,note_f1,0.828,0.011,0.805,0.849
comp,noteF0_p,0.848,0.011,0.825,0.868
comp,noteF0_r,0.838,0.012,0.813,0.861
comp,noteF0_f1,0.839,0.011,0.817,0.859
comp,note_tdr,0.988,0.004,0.98,0.994
comp,frame_tdr,0.989,0.003,0.982,0.994
