file,subset,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn,frame_tdr_num,frame_tdr_den,note_tdr_num,note_tdr_den
04_Rock1-130-A_solo_01.npz,solo,233,29,60,44,14,13,233,29,60,44,14,13,233.0,233.0,44.0,44.0
03_Funk1-114-Ab_solo_02.npz,solo,285,22,37,53,9,6,285,19,37,53,9,6,285.0,285.0,53.0,53.0
01_Jazz3-150-C_solo_00.npz,solo,210,16,23,48,7,4,210,16,23,48,7,4,210.0,210.0,48.0,48.0
03_Funk2-108-Eb_solo_00.npz,solo,221,16,28,36,6,3,221,16,17,36,6,1,221.0,221.0,36.0,36.0
01_BN3-119-G_solo_03.npz,solo,297,17,9,56,5,1,297,17,9,56,5,1,297.0,297.0,56.0,56.0
03_Jazz1-130-D_comp_02.npz,comp,431,60,37,87,13,6,431,60,37,87,13,6,431.0,431.0,87.0,87.0
03_Jazz3-137-Eb_solo_03.npz,solo,253,3,19,51,8,7,253,3,19,51,8,7,253.0,253.0,51.0,51.0
03_BN1-129-Eb_solo_02.npz,solo,248,9,4,50,4,0,248,9,4,50,4,0,248.0,248.0,50.0,50.0
04_SS1-68-E_comp_00.npz,comp,3068,294,275,339,31,14,3069,293,251,339,31,13,3068.0,3069.0,339.0,339.0
04_Funk3-98-A_comp_00.npz,comp,660,82,77,101,15,12,660,82,77,101,15,12,660.0,660.0,101.0,101.0
00_BN1-129-Eb_comp_01.npz,comp,721,73,101,147,14,26,721,59,101,147,14,26,721.0,721.0,147.0,147.0
03_Rock3-117-Bb_comp_00.npz,comp,582,60,72,115,10,11,583,59,71,115,10,11,582.0,583.0,115.0,115.0
01_Jazz3-150-C_comp_02.npz,comp,272,20,58,62,6,15,272,20,58,62,6,15,272.0,272.0,62.0,62.0
01_Jazz3-150-C_comp_03.npz,comp,307,30,53,68,15,13,307,30,53,68,15,13,307.0,307.0,68.0,68.0
03_BN1-129-Eb_solo_01.npz,solo,259,8,8,52,4,3,259,8,8,52,4,3,259.0,259.0,52.0,52.0
03_Jazz1-130-D_solo_00.npz,solo,208,14,10,40,8,1,208,14,10,40,8,1,208.0,208.0,40.0,40.0
00_Funk1-114-Ab_comp_01.npz,comp,738,146,132,142,28,27,738,146,132,142,28,27,738.0,738.0,142.0,142.0
05_BN3-154-E_solo_03.npz,solo,180,33,7,38,15,3,180,33,7,38,15,3,180.0,180.0,38.0,38.0
03_Rock3-117-Bb_comp_02.npz,comp,662,39,67,130,9,14,662,38,67,130,9,14,662.0,662.0,130.0,130.0
04_Rock1-130-A_comp_02.npz,comp,452,66,227,97,6,51,468,44,193,97,6,46,452.0,468.0,97.0,97.0
05_Funk1-114-Ab_solo_02.npz,solo,93,34,24,12,8,10,93,34,24,12,8,10,93.0,93.0,12.0,12.0
00_Jazz2-110-Bb_comp_00.npz,comp,987,211,296,172,42,45,987,211,296,172,42,45,987.0,987.0,172.0,172.0
05_BN3-154-E_comp_00.npz,comp,455,33,87,108,4,21,455,33,87,108,4,21,455.0,455.0,108.0,108.0
01_Jazz1-200-B_solo_00.npz,solo,148,22,13,50,7,4,148,22,13,50,7,4,148.0,148.0,50.0,50.0
02_BN1-147-Gb_solo_01.npz,solo,172,8,20,41,2,4,172,8,20,41,2,4,172.0,172.0,41.0,41.0
00_Jazz2-110-Bb_solo_03.npz,solo,366,19,16,63,4,3,366,19,16,63,4,3,366.0,366.0,63.0,63.0
01_Jazz3-150-C_solo_03.npz,solo,216,12,23,44,11,11,216,12,23,44,11,11,216.0,216.0,44.0,44.0
01_BN3-119-G_comp_03.npz,comp,381,113,194,74,20,37,412,34,163,79,12,32,381.0,412.0,74.0,79.0
04_Funk3-98-A_solo_02.npz,solo,269,27,11,42,5,2,269,27,11,42,5,2,269.0,269.0,42.0,42.0
04_SS1-68-E_comp_02.npz,comp,2779,233,312,293,30,36,2781,166,198,305,15,13,2779.0,2781.0,293.0,305.0
03_BN1-129-Eb_solo_00.npz,solo,198,14,12,44,2,3,198,14,12,44,2,3,198.0,198.0,44.0,44.0
01_Jazz1-200-B_comp_02.npz,comp,316,53,128,98,23,42,325,37,119,100,15,40,316.0,325.0,98.0,100.0
03_BN1-129-Eb_comp_01.npz,comp,654,51,26,139,18,2,654,51,26,139,18,2,654.0,654.0,139.0,139.0
01_BN3-154-E_comp_03.npz,comp,599,66,66,142,17,22,599,66,66,142,17,22,599.0,599.0,142.0,142.0
05_SS1-68-E_solo_00.npz,solo,283,146,71,32,16,8,293,136,61,33,15,7,283.0,293.0,32.0,33.0
02_Rock1-90-C#_solo_02.npz,solo,444,47,82,66,6,11,444,47,82,66,6,11,444.0,444.0,66.0,66.0
01_Jazz3-150-C_comp_00.npz,comp,209,52,73,53,8,20,218,41,64,53,8,20,209.0,218.0,53.0,53.0
00_Jazz2-110-Bb_comp_02.npz,comp,1159,234,177,209,38,17,1161,230,175,209,38,17,1159.0,1161.0,209.0,209.0
01_Funk2-119-G_comp_03.npz,comp,319,71,71,68,20,13,322,64,68,69,18,12,319.0,322.0,68.0,69.0
03_Funk1-114-Ab_comp_02.npz,comp,520,40,170,89,16,39,520,40,170,89,16,39,520.0,520.0,89.0,89.0
03_Rock1-130-A_solo_00.npz,solo,127,42,5,28,10,1,127,42,5,28,10,1,127.0,127.0,28.0,28.0
01_Jazz1-200-B_comp_00.npz,comp,245,113,232,79,39,68,302,52,175,98,20,49,245.0,302.0,79.0,98.0
03_Funk2-108-Eb_comp_02.npz,comp,627,57,141,113,5,25,646,35,122,113,3,25,627.0,646.0,113.0,113.0
01_Jazz1-200-B_solo_01.npz,solo,153,24,31,53,9,8,153,24,31,53,9,8,153.0,153.0,53.0,53.0
02_BN1-147-Gb_comp_00.npz,comp,541,59,243,133,14,49,554,45,230,134,13,48,541.0,554.0,133.0,134.0
02_Rock1-90-C#_comp_02.npz,comp,908,380,264,122,46,45,926,342,221,122,46,42,908.0,926.0,122.0,122.0
01_Funk2-119-G_solo_02.npz,solo,240,22,71,49,7,13,240,22,71,49,7,13,240.0,240.0,49.0,49.0
02_BN3-154-E_comp_03.npz,comp,623,89,111,156,25,29,623,88,111,156,25,29,623.0,623.0,156.0,156.0
01_BN3-154-E_comp_01.npz,comp,550,78,29,130,22,7,550,78,29,130,22,7,550.0,550.0,130.0,130.0
04_SS1-68-E_solo_01.npz,solo,430,83,45,49,9,2,430,83,17,49,9,0,430.0,430.0,49.0,49.0
03_Jazz3-137-Eb_solo_00.npz,solo,238,8,12,48,7,4,238,8,12,48,7,4,238.0,238.0,48.0,48.0
01_Rock1-130-A_solo_02.npz,solo,222,42,53,48,10,11,226,38,42,49,9,9,222.0,226.0,48.0,49.0
03_Jazz3-137-Eb_comp_03.npz,comp,377,103,193,81,23,36,425,55,145,88,16,29,377.0,425.0,81.0,88.0
01_BN3-119-G_comp_00.npz,comp,368,33,50,76,7,6,368,33,50,76,7,6,368.0,368.0,76.0,76.0
01_BN1-129-Eb_solo_00.npz,solo,250,7,9,53,0,2,250,7,9,53,0,2,250.0,250.0,53.0,53.0
01_Jazz3-150-C_solo_01.npz,solo,218,21,8,54,7,2,218,21,8,54,7,2,218.0,218.0,54.0,54.0
05_SS1-68-E_solo_01.npz,solo,258,98,50,28,11,7,258,98,50,28,11,7,258.0,258.0,28.0,28.0
