file,subset,frame_p,frame_r,frame_f1,note_p,note_r,note_f1,frame_F0_p,frame_F0_r,frame_F0_f1,note_F0_p,note_F0_r,note_F0_f1,frame_tdr,note_tdr,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn
04_Rock1-130-A_solo_01.npz,solo,0.7202797202797203,0.7030716723549488,0.7115716753022453,0.6229508196721312,0.6666666666666666,0.6440677966101694,0.7969924812030075,0.7235494880546075,0.7584973166368515,0.6779661016949152,0.7017543859649122,0.6896551724137931,0.9716981132075472,0.95,206,80,87,38,23,19,212,54,81,40,19,17
03_Funk1-114-Ab_solo_02.npz,solo,0.8290909090909091,0.7080745341614907,0.7638190954773869,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.8618181818181818,0.7360248447204969,0.7939698492462312,0.711864406779661,0.711864406779661,0.711864406779661,0.9620253164556962,0.9523809523809523,228,47,94,40,19,19,237,38,85,42,17,17
01_Jazz3-150-C_solo_00.npz,solo,0.9151785714285714,0.8798283261802575,0.8971553610503282,0.8727272727272727,0.9230769230769231,0.897196261682243,0.9276018099547512,0.8798283261802575,0.9030837004405287,0.8888888888888888,0.9230769230769231,0.9056603773584906,1.0,1.0,205,19,28,48,7,4,205,16,28,48,6,4
03_Funk2-108-Eb_solo_00.npz,solo,0.8851063829787233,0.8353413654618473,0.859504132231405,0.8421052631578947,0.8205128205128205,0.8311688311688312,0.8851063829787233,0.8739495798319328,0.879492600422833,0.8421052631578947,0.8648648648648649,0.8533333333333334,1.0,1.0,208,27,41,32,6,7,208,27,30,32,6,5
01_BN3-119-G_solo_03.npz,solo,0.7956656346749226,0.8398692810457516,0.8171701112877583,0.7833333333333333,0.8245614035087719,0.8034188034188035,0.9305993690851735,0.9640522875816994,0.9470304975922953,0.9166666666666666,0.9649122807017544,0.9401709401709402,0.8711864406779661,0.8545454545454545,257,66,49,47,13,10,295,22,11,55,5,2
03_Jazz1-130-D_comp_02.npz,comp,0.7244318181818182,0.5448717948717948,0.6219512195121951,0.7272727272727273,0.6021505376344086,0.6588235294117647,0.7244318181818182,0.5448717948717948,0.6219512195121951,0.7272727272727273,0.6021505376344086,0.6588235294117647,1.0,1.0,255,97,213,56,21,37,255,97,213,56,21,37
03_Jazz3-137-Eb_solo_03.npz,solo,0.8901960784313725,0.8345588235294118,0.8614800759013282,0.7741935483870968,0.8275862068965517,0.8,0.9568627450980393,0.8970588235294118,0.9259962049335864,0.8387096774193549,0.896551724137931,0.8666666666666667,0.930327868852459,0.9230769230769231,227,28,45,48,14,10,244,11,28,52,10,6
03_BN1-129-Eb_solo_02.npz,solo,0.9003831417624522,0.9325396825396826,0.9161793372319688,0.8214285714285714,0.92,0.8679245283018868,0.9386973180076629,0.9722222222222222,0.9551656920077972,0.8571428571428571,0.96,0.9056603773584906,0.9591836734693877,0.9583333333333334,235,26,17,46,10,4,245,16,7,48,8,2
04_SS1-68-E_comp_00.npz,comp,0.06143667296786389,0.03888722704157942,0.04762777065396593,0.012345679012345678,0.0084985835694051,0.010067114093959731,0.8951456310679612,0.555421686746988,0.6855018587360595,0.9090909090909091,0.625,0.7407407407407407,0.07049891540130152,0.013636363636363636,130,1986,3213,3,240,350,1844,216,1476,220,22,132
04_Funk3-98-A_comp_00.npz,comp,0.8043478260869565,0.5522388059701493,0.6548672566371682,0.8089887640449438,0.6371681415929203,0.7128712871287128,0.9027484143763214,0.5793758480325645,0.7057851239669422,0.8202247191011236,0.6460176991150443,0.7227722772277227,0.9531615925058547,0.9863013698630136,407,99,330,72,17,41,427,46,310,73,16,40
