subset,metric,mean,std,ci95_lo,ci95_hi
all,frame_p,0.858,0.007,0.844,0.87
all,frame_r,0.882,0.008,0.864,0.897
all,frame_f1,0.87,0.007,0.856,0.882
all,frameF0_p,0.866,0.006,0.853,0.878
all,frameF0_r,0.891,0.007,0.876,0.905
all,frameF0_f1,0.878,0.006,0.865,0.889
all,note_p,0.844,0.008,0.83,0.859
all,note_r,0.881,0.008,0.864,0.895
all,note_f1,0.86,0.007,0.845,0.873
all,noteF0_p,0.852,0.007,0.837,0.865
all,noteF0_r,0.89,0.007,0.876,0.903
all,noteF0_f1,0.868,0.006,0.855,0.879
all,note_tdr,0.992,0.003,0.984,0.997
all,frame_tdr,0.993,0.003,0.987,0.998
solo,frame_p,0.886,0.011,0.86,0.906
solo,frame_r,0.905,0.008,0.887,0.921
solo,frame_f1,0.895,0.009,0.875,0.912
solo,frameF0_p,0.898,0.007,0.883,0.912
solo,frameF0_r,0.921,0.006,0.91,0.931
solo,frameF0_f1,0.909,0.005,0.899,0.92
solo,note_p,0.861,0.01,0.841,0.88
solo,note_r,0.909,0.009,0.891,0.925
solo,note_f1,0.882,0.009,0.864,0.897
solo,noteF0_p,0.87,0.009,0.853,0.887
solo,noteF0_r,0.922,0.007,0.908,0.934
solo,noteF0_f1,0.893,0.007,0.88,0.907
solo,note_tdr,0.99,0.006,0.977,0.998
solo,frame_tdr,0.989,0.007,0.975,0.998
comp,frame_p,0.848,0.009,0.832,0.865
comp,frame_r,0.873,0.011,0.849,0.894
comp,frame_f1,0.861,0.009,0.842,0.877
comp,frameF0_p,0.855,0.008,0.837,0.87
comp,frameF0_r,0.88,0.01,0.859,0.898
comp,frameF0_f1,0.867,0.008,0.85,0.882
comp,note_p,0.827,0.012,0.803,0.85
comp,note_r,0.853,0.013,0.825,0.876
comp,note_f1,0.837,0.011,0.813,0.857
comp,noteF0_p,0.834,0.011,0.811,0.857
comp,noteF0_r,0.859,0.012,0.833,0.88
comp,noteF0_f1,0.843,0.011,0.823,0.862
comp,note_tdr,0.993,0.003,0.985,0.999
comp,frame_tdr,0.995,0.003,0.988,1.0
