subset,metric,mean,std,ci95_lo,ci95_hi
all,frame_p,0.882,0.006,0.87,0.894
all,frame_r,0.909,0.007,0.896,0.922
all,frame_f1,0.896,0.006,0.884,0.906
all,note_p,0.858,0.007,0.843,0.872
all,note_r,0.898,0.008,0.882,0.912
all,note_f1,0.877,0.007,0.863,0.89
all,frameF0_p,0.883,0.006,0.87,0.894
all,frameF0_r,0.912,0.007,0.898,0.924
all,frameF0_f1,0.897,0.006,0.885,0.908
all,noteF0_p,0.858,0.007,0.843,0.872
all,noteF0_r,0.899,0.008,0.884,0.913
all,noteF0_f1,0.878,0.007,0.864,0.891
all,frame_tdr,1.001,0.001,1.0,1.002
all,note_tdr,1.0,0.0,1.0,1.001
solo,frame_p,0.896,0.007,0.88,0.909
solo,frame_r,0.928,0.006,0.916,0.939
solo,frame_f1,0.912,0.005,0.901,0.922
solo,note_p,0.869,0.008,0.854,0.885
solo,note_r,0.925,0.006,0.912,0.936
solo,note_f1,0.896,0.006,0.884,0.908
solo,frameF0_p,0.896,0.008,0.881,0.911
solo,frameF0_r,0.932,0.006,0.92,0.943
solo,frameF0_f1,0.914,0.005,0.903,0.924
solo,noteF0_p,0.87,0.008,0.854,0.885
solo,noteF0_r,0.928,0.006,0.916,0.94
solo,noteF0_f1,0.898,0.006,0.886,0.91
solo,frame_tdr,1.002,0.001,1.0,1.005
solo,note_tdr,1.001,0.001,1.0,1.004
comp,frame_p,0.878,0.008,0.862,0.892
comp,frame_r,0.903,0.009,0.884,0.919
comp,frame_f1,0.89,0.008,0.874,0.904
comp,note_p,0.854,0.01,0.833,0.871
comp,note_r,0.888,0.01,0.866,0.906
comp,note_f1,0.87,0.009,0.85,0.887
comp,frameF0_p,0.878,0.008,0.862,0.892
comp,frameF0_r,0.905,0.009,0.886,0.921
comp,frameF0_f1,0.891,0.008,0.875,0.905
comp,noteF0_p,0.854,0.01,0.833,0.871
comp,noteF0_r,0.889,0.01,0.868,0.908
comp,noteF0_f1,0.871,0.009,0.851,0.888
comp,frame_tdr,1.0,0.001,1.0,1.002
comp,note_tdr,1.0,0.0,1.0,1.001
