file,subset,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn,frame_tdr_num,frame_tdr_den,note_tdr_num,note_tdr_den
04_Rock1-130-A_solo_01.npz,solo,245,59,48,46,17,11,247,57,46,46,17,11,245.0,247.0,46.0,46.0
03_Funk1-114-Ab_solo_02.npz,solo,286,26,36,50,11,9,286,26,36,50,11,9,286.0,286.0,50.0,50.0
01_Jazz3-150-C_solo_00.npz,solo,218,7,15,50,6,2,218,7,15,50,6,2,218.0,218.0,50.0,50.0
03_Funk2-108-Eb_solo_00.npz,solo,228,18,21,37,6,2,228,18,10,37,6,0,228.0,228.0,37.0,37.0
01_BN3-119-G_solo_03.npz,solo,276,16,30,51,5,6,276,16,30,51,5,6,276.0,276.0,51.0,51.0
03_Jazz1-130-D_comp_02.npz,comp,457,53,11,91,12,2,457,53,11,91,12,2,457.0,457.0,91.0,91.0
03_Jazz3-137-Eb_solo_03.npz,solo,261,8,11,52,11,6,261,8,11,52,11,6,261.0,261.0,52.0,52.0
03_BN1-129-Eb_solo_02.npz,solo,250,8,2,50,7,0,250,8,2,50,7,0,250.0,250.0,50.0,50.0
04_SS1-68-E_comp_00.npz,comp,3286,315,57,351,32,2,3287,314,33,351,32,1,3286.0,3287.0,351.0,351.0
04_Funk3-98-A_comp_00.npz,comp,688,98,49,107,19,6,688,98,49,107,19,6,688.0,688.0,107.0,107.0
00_BN1-129-Eb_comp_01.npz,comp,732,64,90,155,17,18,732,64,90,155,17,18,732.0,732.0,155.0,155.0
03_Rock3-117-Bb_comp_00.npz,comp,611,59,43,119,14,7,611,59,43,119,14,7,611.0,611.0,119.0,119.0
01_Jazz3-150-C_comp_02.npz,comp,297,31,33,68,11,9,297,31,33,68,11,9,297.0,297.0,68.0,68.0
01_Jazz3-150-C_comp_03.npz,comp,321,33,39,68,13,13,321,33,39,68,13,13,321.0,321.0,68.0,68.0
03_BN1-129-Eb_solo_01.npz,solo,258,7,9,53,4,2,258,7,9,53,4,2,258.0,258.0,53.0,53.0
03_Jazz1-130-D_solo_00.npz,solo,211,8,7,40,6,1,211,8,7,40,6,1,211.0,211.0,40.0,40.0
00_Funk1-114-Ab_comp_01.npz,comp,776,104,94,147,25,22,776,104,94,147,25,22,776.0,776.0,147.0,147.0
05_BN3-154-E_solo_03.npz,solo,181,46,6,38,17,3,181,46,6,38,17,3,181.0,181.0,38.0,38.0
03_Rock3-117-Bb_comp_02.npz,comp,668,45,61,134,9,10,668,45,61,134,9,10,668.0,668.0,134.0,134.0
04_Rock1-130-A_comp_02.npz,comp,496,55,183,108,12,40,496,55,165,108,12,35,496.0,496.0,108.0,108.0
05_Funk1-114-Ab_solo_02.npz,solo,89,45,28,12,10,10,89,45,28,12,10,10,89.0,89.0,12.0,12.0
00_Jazz2-110-Bb_comp_00.npz,comp,1094,229,189,179,64,38,1094,229,189,179,64,38,1094.0,1094.0,179.0,179.0
05_BN3-154-E_comp_00.npz,comp,472,14,70,113,1,16,472,14,70,113,1,16,472.0,472.0,113.0,113.0
01_Jazz1-200-B_solo_00.npz,solo,149,19,12,51,4,3,149,19,12,51,4,3,149.0,149.0,51.0,51.0
02_BN1-147-Gb_solo_01.npz,solo,169,21,23,41,6,4,169,21,23,41,6,4,169.0,169.0,41.0,41.0
00_Jazz2-110-Bb_solo_03.npz,solo,366,20,16,63,5,3,366,20,16,63,5,3,366.0,366.0,63.0,63.0
01_Jazz3-150-C_solo_03.npz,solo,225,19,14,46,14,9,225,19,14,46,14,9,225.0,225.0,46.0,46.0
01_BN3-119-G_comp_03.npz,comp,528,26,47,104,15,7,528,26,47,104,15,7,528.0,528.0,104.0,104.0
04_Funk3-98-A_solo_02.npz,solo,271,25,9,44,2,0,271,25,9,44,2,0,271.0,271.0,44.0,44.0
04_SS1-68-E_comp_02.npz,comp,2851,196,240,298,15,31,2799,183,180,294,15,24,2851.0,2799.0,298.0,294.0
03_BN1-129-Eb_solo_00.npz,solo,200,9,10,43,2,4,200,9,10,43,2,4,200.0,200.0,43.0,43.0
01_Jazz1-200-B_comp_02.npz,comp,402,51,42,125,17,15,402,51,42,125,17,15,402.0,402.0,125.0,125.0
03_BN1-129-Eb_comp_01.npz,comp,665,69,15,138,17,3,665,69,15,138,17,3,665.0,665.0,138.0,138.0
01_BN3-154-E_comp_03.npz,comp,642,70,23,149,18,15,642,70,23,149,18,15,642.0,642.0,149.0,149.0
05_SS1-68-E_solo_00.npz,solo,347,144,7,37,14,3,347,144,7,37,14,3,347.0,347.0,37.0,37.0
02_Rock1-90-C#_solo_02.npz,solo,470,36,56,67,6,10,470,36,56,67,6,10,470.0,470.0,67.0,67.0
01_Jazz3-150-C_comp_00.npz,comp,243,65,39,63,13,10,243,65,39,63,13,10,243.0,243.0,63.0,63.0
00_Jazz2-110-Bb_comp_02.npz,comp,1225,183,111,207,34,19,1225,183,111,207,34,19,1225.0,1225.0,207.0,207.0
01_Funk2-119-G_comp_03.npz,comp,345,71,45,73,23,8,345,71,45,73,23,8,345.0,345.0,73.0,73.0
03_Funk1-114-Ab_comp_02.npz,comp,604,56,86,107,17,21,604,56,86,107,17,21,604.0,604.0,107.0,107.0
03_Rock1-130-A_solo_00.npz,solo,128,46,4,27,11,2,128,46,4,27,11,2,128.0,128.0,27.0,27.0
01_Jazz1-200-B_comp_00.npz,comp,401,53,76,123,22,24,401,53,76,123,22,24,401.0,401.0,123.0,123.0
03_Funk2-108-Eb_comp_02.npz,comp,704,62,64,119,6,19,704,62,64,119,6,19,704.0,704.0,119.0,119.0
01_Jazz1-200-B_solo_01.npz,solo,152,31,32,52,12,9,152,31,32,52,12,9,152.0,152.0,52.0,52.0
02_BN1-147-Gb_comp_00.npz,comp,584,51,200,138,58,44,584,51,200,138,58,44,584.0,584.0,138.0,138.0
02_Rock1-90-C#_comp_02.npz,comp,960,243,212,130,52,37,960,243,187,130,52,34,960.0,960.0,130.0,130.0
01_Funk2-119-G_solo_02.npz,solo,255,31,56,55,10,7,255,31,56,55,10,7,255.0,255.0,55.0,55.0
02_BN3-154-E_comp_03.npz,comp,647,99,87,162,25,23,647,99,87,162,25,23,647.0,647.0,162.0,162.0
01_BN3-154-E_comp_01.npz,comp,554,57,25,134,16,3,554,57,25,134,16,3,554.0,554.0,134.0,134.0
04_SS1-68-E_solo_01.npz,solo,455,80,20,50,9,1,431,79,16,49,9,0,455.0,431.0,50.0,49.0
03_Jazz3-137-Eb_solo_00.npz,solo,237,9,13,49,7,3,237,9,13,49,7,3,237.0,237.0,49.0,49.0
01_Rock1-130-A_solo_02.npz,solo,232,43,43,54,8,5,232,43,36,54,8,4,232.0,232.0,54.0,54.0
03_Jazz3-137-Eb_comp_03.npz,comp,531,20,39,109,8,8,531,20,39,109,8,8,531.0,531.0,109.0,109.0
01_BN3-119-G_comp_00.npz,comp,382,39,36,77,10,5,382,39,36,77,10,5,382.0,382.0,77.0,77.0
01_BN1-129-Eb_solo_00.npz,solo,253,8,6,54,1,1,253,8,6,54,1,1,253.0,253.0,54.0,54.0
01_Jazz3-150-C_solo_01.npz,solo,212,19,14,52,6,4,212,19,14,52,6,4,212.0,212.0,52.0,52.0
05_SS1-68-E_solo_01.npz,solo,272,87,36,30,10,5,272,87,36,30,10,5,272.0,272.0,30.0,30.0
04_Funk3-98-A_comp_02.npz,comp,782,150,49,120,25,10,782,150,49,120,25,10,782.0,782.0,120.0,120.0
03_Rock3-117-Bb_solo_03.npz,solo,371,51,23,69,12,5,371,51,23,69,12,5,371.0,371.0,69.0,69.0
05_BN1-129-Eb_comp_02.npz,comp,717,23,39,139,18,11,717,23,39,139,18,11,717.0,717.0,139.0,139.0
04_BN3-154-E_solo_02.npz,solo,192,33,14,47,8,4,186,33,6,47,7,1,192.0,186.0,47.0,47.0
05_Funk1-114-Ab_comp_00.npz,comp,398,70,58,69,12,8,398,70,58,69,12,8,398.0,398.0,69.0,69.0
04_SS1-68-E_comp_01.npz,comp,2673,386,203,279,38,29,2673,386,203,279,38,29,2673.0,2673.0,279.0,279.0
04_Funk3-98-A_solo_00.npz,solo,289,30,5,43,9,1,289,30,5,43,9,1,289.0,289.0,43.0,43.0
01_BN3-154-E_comp_02.npz,comp,435,51,35,103,16,10,435,51,28,103,16,9,435.0,435.0,103.0,103.0
04_BN3-154-E_comp_02.npz,comp,111,319,281,31,82,66,111,319,281,31,82,66,111.0,111.0,31.0,31.0
02_Rock1-90-C#_solo_01.npz,solo,395,19,9,58,2,1,395,19,9,58,2,1,395.0,395.0,58.0,58.0
03_Jazz3-137-Eb_comp_02.npz,comp,364,27,24,78,9,7,364,27,24,78,9,7,364.0,364.0,78.0,78.0
05_SS1-68-E_comp_00.npz,comp,1433,99,14,150,16,0,1433,99,14,150,16,0,1433.0,1433.0,150.0,150.0
01_BN1-129-Eb_solo_02.npz,solo,256,8,4,55,2,2,256,8,4,55,2,2,256.0,256.0,55.0,55.0
05_BN1-129-Eb_solo_00.npz,solo,248,25,10,50,8,2,248,25,10,50,8,2,248.0,248.0,50.0,50.0
01_BN3-119-G_comp_02.npz,comp,509,61,38,98,20,4,509,61,38,98,20,4,509.0,509.0,98.0,98.0
05_SS1-100-C#_solo_01.npz,solo,222,41,5,36,5,1,222,41,5,36,5,1,222.0,222.0,36.0,36.0
02_BN1-147-Gb_solo_00.npz,solo,239,9,2,59,1,0,239,9,2,59,1,0,239.0,239.0,59.0,59.0
03_Jazz3-137-Eb_solo_01.npz,solo,231,10,6,48,7,2,231,10,6,48,7,2,231.0,231.0,48.0,48.0
05_BN1-129-Eb_solo_02.npz,solo,203,23,43,40,7,9,203,23,43,40,7,9,203.0,203.0,40.0,40.0
03_BN1-129-Eb_comp_02.npz,comp,625,51,32,129,19,9,625,51,32,129,19,9,625.0,625.0,129.0,129.0
03_Rock1-130-A_comp_01.npz,comp,720,247,104,151,43,22,720,247,104,151,43,22,720.0,720.0,151.0,151.0
05_Funk1-114-Ab_comp_01.npz,comp,426,89,38,76,18,12,426,89,38,76,18,12,426.0,426.0,76.0,76.0
05_SS1-68-E_comp_01.npz,comp,1403,269,20,148,36,5,1403,269,20,148,36,5,1403.0,1403.0,148.0,148.0
03_Funk2-108-Eb_comp_01.npz,comp,796,111,70,140,13,13,796,111,70,140,13,13,796.0,796.0,140.0,140.0
05_BN3-154-E_solo_02.npz,solo,123,52,4,28,14,3,123,52,4,28,14,3,123.0,123.0,28.0,28.0
01_Funk2-119-G_solo_00.npz,solo,230,22,16,45,4,3,230,22,16,45,4,3,230.0,230.0,45.0,45.0
01_BN1-129-Eb_solo_01.npz,solo,174,55,20,35,14,3,174,55,20,35,14,3,174.0,174.0,35.0,35.0
01_Jazz1-200-B_solo_02.npz,solo,175,19,20,58,9,6,175,19,20,58,9,6,175.0,175.0,58.0,58.0
02_Rock1-90-C#_solo_00.npz,solo,413,9,13,60,1,1,413,9,13,60,1,1,413.0,413.0,60.0,60.0
02_BN3-154-E_comp_00.npz,comp,686,66,66,169,21,15,686,66,66,169,21,15,686.0,686.0,169.0,169.0
01_BN3-119-G_comp_01.npz,comp,483,66,47,92,15,8,483,66,47,92,15,8,483.0,483.0,92.0,92.0
01_BN3-154-E_solo_02.npz,solo,378,30,9,92,9,1,378,30,9,92,9,1,378.0,378.0,92.0,92.0
00_Rock1-130-A_solo_01.npz,solo,402,20,21,86,1,4,402,20,14,86,1,3,402.0,402.0,86.0,86.0
01_BN1-129-Eb_comp_02.npz,comp,665,124,17,135,31,6,665,124,17,135,31,6,665.0,665.0,135.0,135.0
05_SS1-100-C#_solo_02.npz,solo,265,102,21,39,19,3,265,102,11,39,19,2,265.0,265.0,39.0,39.0
03_Funk1-114-Ab_comp_01.npz,comp,596,97,149,107,18,33,596,97,149,107,18,33,596.0,596.0,107.0,107.0
01_Rock1-130-A_comp_00.npz,comp,667,149,46,137,28,10,667,149,46,137,28,10,667.0,667.0,137.0,137.0
01_Funk2-119-G_solo_03.npz,solo,182,20,21,38,15,2,182,20,21,38,15,2,182.0,182.0,38.0,38.0
02_BN3-154-E_solo_03.npz,solo,232,29,21,48,17,10,232,29,21,48,17,10,232.0,232.0,48.0,48.0
03_Rock3-117-Bb_solo_02.npz,solo,367,48,18,70,7,3,359,48,17,69,7,3,367.0,359.0,70.0,69.0
02_Rock1-90-C#_comp_00.npz,comp,718,114,41,103,22,4,718,114,41,103,22,4,718.0,718.0,103.0,103.0
05_Funk1-114-Ab_solo_00.npz,solo,139,26,14,27,5,2,139,26,14,27,5,2,139.0,139.0,27.0,27.0
05_SS1-100-C#_solo_00.npz,solo,196,126,1,29,21,0,196,126,1,29,21,0,196.0,196.0,29.0,29.0
04_SS1-68-E_solo_02.npz,solo,441,41,18,49,2,3,441,34,18,49,2,3,441.0,441.0,49.0,49.0
03_BN2-166-Ab_solo_01.npz,solo,152,14,7,39,9,3,152,14,7,39,9,3,152.0,152.0,39.0,39.0
01_Funk2-119-G_solo_01.npz,solo,182,16,19,36,8,4,182,16,19,36,8,4,182.0,182.0,36.0,36.0
01_Jazz3-150-C_comp_01.npz,comp,346,17,20,82,5,7,346,17,20,82,5,7,346.0,346.0,82.0,82.0
03_Funk2-108-Eb_solo_02.npz,solo,229,36,50,38,9,8,229,36,43,38,9,7,229.0,229.0,38.0,38.0
03_BN2-166-Ab_solo_02.npz,solo,157,20,21,43,6,5,157,20,21,43,6,5,157.0,157.0,43.0,43.0
03_Jazz1-130-D_comp_00.npz,comp,472,54,61,94,19,13,472,54,61,94,19,13,472.0,472.0,94.0,94.0
05_Funk1-114-Ab_solo_01.npz,solo,206,64,54,35,13,10,206,64,54,35,13,10,206.0,206.0,35.0,35.0
05_SS1-100-C#_comp_00.npz,comp,1274,114,17,197,29,1,1274,114,17,197,29,1,1274.0,1274.0,197.0,197.0
02_BN1-129-Eb_comp_00.npz,comp,722,57,49,150,10,6,722,57,46,150,10,5,722.0,722.0,150.0,150.0
02_BN1-147-Gb_comp_01.npz,comp,526,56,205,121,23,50,527,48,204,122,22,49,526.0,527.0,121.0,122.0
01_BN3-154-E_solo_01.npz,solo,259,12,12,66,4,3,259,12,12,66,4,3,259.0,259.0,66.0,66.0
03_Funk2-108-Eb_comp_00.npz,comp,688,76,27,120,10,6,688,76,27,120,10,6,688.0,688.0,120.0,120.0
03_Rock3-117-Bb_comp_01.npz,comp,698,88,149,138,14,26,698,88,149,138,14,26,698.0,698.0,138.0,138.0
03_Funk1-114-Ab_solo_00.npz,solo,156,17,13,31,3,2,156,17,13,31,3,2,156.0,156.0,31.0,31.0
01_Funk2-119-G_comp_01.npz,comp,342,39,48,74,7,12,342,39,48,74,7,12,342.0,342.0,74.0,74.0
00_Funk1-114-Ab_comp_02.npz,comp,930,150,118,157,42,29,930,150,118,157,42,29,930.0,930.0,157.0,157.0
01_Rock1-130-A_comp_02.npz,comp,900,94,33,190,11,5,900,94,33,190,11,5,900.0,900.0,190.0,190.0
04_Rock1-130-A_comp_00.npz,comp,421,40,84,89,19,14,421,40,84,89,19,14,421.0,421.0,89.0,89.0
05_BN3-154-E_comp_02.npz,comp,523,40,41,124,13,14,523,40,41,124,13,14,523.0,523.0,124.0,124.0
03_Rock1-130-A_comp_02.npz,comp,935,224,119,197,47,21,935,224,110,197,47,19,935.0,935.0,197.0,197.0
03_Funk2-108-Eb_comp_03.npz,comp,953,125,45,161,26,11,953,125,45,161,26,11,953.0,953.0,161.0,161.0
03_Jazz1-130-D_comp_01.npz,comp,337,31,67,71,7,12,337,31,67,71,7,12,337.0,337.0,71.0,71.0
