subset,metric,mean,std,ci95_lo,ci95_hi
all,frame_p,0.812,0.01,0.792,0.83
all,frame_r,0.803,0.014,0.774,0.83
all,frame_f1,0.807,0.012,0.783,0.829
all,frameF0_p,0.861,0.006,0.848,0.873
all,frameF0_r,0.849,0.009,0.83,0.867
all,frameF0_f1,0.855,0.007,0.841,0.867
all,note_p,0.795,0.01,0.774,0.814
all,note_r,0.805,0.011,0.783,0.826
all,note_f1,0.796,0.01,0.775,0.815
all,noteF0_p,0.849,0.007,0.835,0.862
all,noteF0_r,0.851,0.008,0.835,0.865
all,noteF0_f1,0.846,0.006,0.833,0.858
all,note_tdr,0.943,0.009,0.924,0.961
all,frame_tdr,0.949,0.009,0.929,0.965
solo,frame_p,0.843,0.011,0.821,0.864
solo,frame_r,0.852,0.013,0.826,0.875
solo,frame_f1,0.847,0.011,0.825,0.868
solo,frameF0_p,0.896,0.007,0.882,0.909
solo,frameF0_r,0.901,0.008,0.885,0.915
solo,frameF0_f1,0.898,0.006,0.886,0.909
solo,note_p,0.822,0.011,0.801,0.842
solo,note_r,0.857,0.011,0.834,0.878
solo,note_f1,0.837,0.01,0.816,0.856
solo,noteF0_p,0.866,0.008,0.849,0.882
solo,noteF0_r,0.898,0.008,0.882,0.914
solo,noteF0_f1,0.879,0.007,0.864,0.893
solo,note_tdr,0.958,0.008,0.941,0.972
solo,frame_tdr,0.951,0.009,0.933,0.968
comp,frame_p,0.801,0.013,0.774,0.825
comp,frame_r,0.785,0.019,0.746,0.82
comp,frame_f1,0.793,0.016,0.761,0.822
comp,frameF0_p,0.849,0.008,0.832,0.864
comp,frameF0_r,0.83,0.013,0.805,0.854
comp,frameF0_f1,0.839,0.009,0.821,0.856
comp,note_p,0.767,0.017,0.731,0.799
comp,note_r,0.753,0.02,0.714,0.79
comp,note_f1,0.757,0.018,0.72,0.789
comp,noteF0_p,0.832,0.011,0.809,0.852
comp,noteF0_r,0.803,0.013,0.777,0.827
comp,noteF0_f1,0.812,0.011,0.79,0.832
comp,note_tdr,0.929,0.017,0.893,0.96
comp,frame_tdr,0.948,0.012,0.921,0.97
