file,subset,frame_tp,frame_fp,frame_fn,frameF0_tp,frameF0_fp,frameF0_fn,frame_tdr_num,frame_tdr_den,note_p,note_r,note_f1,noteF0_p,noteF0_r,noteF0_f1,note_tdr
04_Rock1-130-A_solo_01.npz,solo,218,47,75,218,46,75,218.0,218.0,0.7037037037037037,0.6666666666666666,0.6846846846846847,0.7037037037037037,0.6666666666666666,0.6846846846846847,1.0
03_Funk1-114-Ab_solo_02.npz,solo,253,30,69,260,23,62,253.0,260.0,0.8392857142857143,0.7966101694915254,0.8173913043478261,0.8571428571428571,0.8135593220338984,0.8347826086956521,0.9791666666666666
01_Jazz3-150-C_solo_00.npz,solo,215,19,18,217,13,16,215.0,217.0,0.8421052631578947,0.9230769230769231,0.8807339449541285,0.8596491228070176,0.9423076923076923,0.8990825688073395,0.9795918367346939
03_Funk2-108-Eb_solo_00.npz,solo,218,23,31,218,23,20,218.0,218.0,0.875,0.8974358974358975,0.8860759493670886,0.875,0.9459459459459459,0.9090909090909091,1.0
01_BN3-119-G_solo_03.npz,solo,270,37,36,296,8,10,270.0,296.0,0.8333333333333334,0.8771929824561403,0.8547008547008547,0.9322033898305084,0.9649122807017544,0.9482758620689655,0.9090909090909091
03_Jazz1-130-D_comp_02.npz,comp,393,62,75,393,62,75,393.0,393.0,0.8571428571428571,0.8387096774193549,0.8478260869565217,0.8571428571428571,0.8387096774193549,0.8478260869565217,1.0
03_Jazz3-137-Eb_solo_03.npz,solo,243,22,29,248,10,24,243.0,248.0,0.8,0.8275862068965517,0.8135593220338984,0.8166666666666667,0.8448275862068966,0.8305084745762712,0.9795918367346939
03_BN1-129-Eb_solo_02.npz,solo,237,18,15,247,8,5,237.0,247.0,0.8571428571428571,0.96,0.9056603773584906,0.8928571428571429,1.0,0.9433962264150944,0.96
04_SS1-68-E_comp_00.npz,comp,3246,307,97,3247,306,73,3246.0,3247.0,0.9164490861618799,0.9943342776203966,0.9538043478260869,0.9164490861618799,0.9971590909090909,0.9551020408163265,1.0
04_Funk3-98-A_comp_00.npz,comp,637,63,100,637,61,100,637.0,637.0,0.9,0.8761061946902655,0.8878923766816144,0.9,0.8761061946902655,0.8878923766816144,1.0
00_BN1-129-Eb_comp_01.npz,comp,649,130,173,658,104,164,649.0,658.0,0.8220858895705522,0.7745664739884393,0.7976190476190477,0.8535031847133758,0.7745664739884393,0.8121212121212121,1.0
03_Rock3-117-Bb_comp_00.npz,comp,411,203,243,520,74,134,411.0,520.0,0.6504065040650406,0.6349206349206349,0.642570281124498,0.8666666666666667,0.8253968253968254,0.8455284552845529,0.7692307692307693
01_Jazz3-150-C_comp_02.npz,comp,242,52,88,260,31,70,242.0,260.0,0.8125,0.6753246753246753,0.7375886524822695,0.890625,0.7402597402597403,0.8085106382978723,0.9122807017543859
