subset,metric,mean,std,ci95_lo,ci95_hi
all,frame_p,0.783,0.012,0.758,0.806
all,frame_r,0.777,0.016,0.745,0.807
all,frame_f1,0.78,0.013,0.752,0.805
all,frameF0_p,0.855,0.007,0.841,0.869
all,frameF0_r,0.842,0.009,0.823,0.859
all,frameF0_f1,0.848,0.007,0.834,0.861
all,note_p,0.774,0.012,0.75,0.796
all,note_r,0.793,0.012,0.768,0.817
all,note_f1,0.78,0.012,0.756,0.802
all,noteF0_p,0.845,0.007,0.831,0.859
all,noteF0_r,0.854,0.007,0.838,0.868
all,noteF0_f1,0.846,0.006,0.833,0.858
all,note_tdr,0.927,0.011,0.903,0.948
all,frame_tdr,0.926,0.013,0.9,0.949
solo,frame_p,0.834,0.012,0.807,0.856
solo,frame_r,0.845,0.013,0.817,0.869
solo,frame_f1,0.839,0.012,0.814,0.861
solo,frameF0_p,0.896,0.007,0.882,0.909
solo,frameF0_r,0.893,0.008,0.878,0.908
solo,frameF0_f1,0.895,0.005,0.884,0.905
solo,note_p,0.816,0.013,0.789,0.839
solo,note_r,0.853,0.013,0.826,0.877
solo,note_f1,0.831,0.012,0.806,0.853
solo,noteF0_p,0.869,0.009,0.852,0.885
solo,noteF0_r,0.897,0.008,0.881,0.912
solo,noteF0_f1,0.88,0.007,0.865,0.893
solo,note_tdr,0.954,0.01,0.931,0.972
solo,frame_tdr,0.952,0.01,0.929,0.969
comp,frame_p,0.764,0.016,0.73,0.794
comp,frame_r,0.753,0.021,0.71,0.793
comp,frame_f1,0.758,0.018,0.721,0.792
comp,frameF0_p,0.84,0.009,0.821,0.858
comp,frameF0_r,0.823,0.013,0.797,0.847
comp,frameF0_f1,0.832,0.01,0.812,0.85
comp,note_p,0.732,0.019,0.693,0.768
comp,note_r,0.734,0.021,0.691,0.775
comp,note_f1,0.73,0.02,0.689,0.767
comp,noteF0_p,0.822,0.011,0.798,0.842
comp,noteF0_r,0.81,0.013,0.784,0.834
comp,noteF0_f1,0.812,0.011,0.79,0.832
comp,note_tdr,0.9,0.02,0.858,0.936
comp,frame_tdr,0.916,0.017,0.88,0.947
