file,subset,frame_tp,frame_fp,frame_fn,frameF0_tp,frameF0_fp,frameF0_fn,frame_tdr_num,frame_tdr_den,note_p,note_r,note_f1,noteF0_p,noteF0_r,noteF0_f1,note_tdr
04_Rock1-130-A_solo_01.npz,solo,227,51,66,228,35,65,227.0,228.0,0.7586206896551724,0.7719298245614035,0.7652173913043478,0.7857142857142857,0.7719298245614035,0.7787610619469026,1.0
03_Funk1-114-Ab_solo_02.npz,solo,265,23,57,265,18,57,265.0,265.0,0.8333333333333334,0.847457627118644,0.8403361344537815,0.847457627118644,0.847457627118644,0.847457627118644,1.0
01_Jazz3-150-C_solo_00.npz,solo,217,12,16,217,12,16,217.0,217.0,0.8928571428571429,0.9615384615384616,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9259259259259259,1.0
03_Funk2-108-Eb_solo_00.npz,solo,216,16,33,216,16,22,216.0,216.0,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.918918918918919,0.8947368421052632,1.0
01_BN3-119-G_solo_03.npz,solo,226,78,80,263,15,43,226.0,263.0,0.7321428571428571,0.7192982456140351,0.7256637168141593,0.9230769230769231,0.8421052631578947,0.8807339449541285,0.8541666666666666
03_Jazz1-130-D_comp_02.npz,comp,438,64,30,438,64,30,438.0,438.0,0.8543689320388349,0.946236559139785,0.8979591836734694,0.8543689320388349,0.946236559139785,0.8979591836734694,1.0
03_Jazz3-137-Eb_solo_03.npz,solo,242,16,30,250,8,22,242.0,250.0,0.7868852459016393,0.8275862068965517,0.8067226890756303,0.819672131147541,0.8620689655172413,0.8403361344537815,0.96
03_BN1-129-Eb_solo_02.npz,solo,247,13,5,247,13,5,247.0,247.0,0.8928571428571429,1.0,0.9433962264150944,0.8928571428571429,1.0,0.9433962264150944,1.0
04_SS1-68-E_comp_00.npz,comp,3193,296,150,3194,295,126,3193.0,3194.0,0.9182058047493403,0.9858356940509915,0.9508196721311475,0.9182058047493403,0.9886363636363636,0.9521203830369357,1.0
04_Funk3-98-A_comp_00.npz,comp,475,248,262,608,81,129,475.0,608.0,0.6016949152542372,0.6283185840707964,0.6147186147186147,0.8434782608695652,0.8584070796460177,0.8508771929824561,0.7319587628865979
00_BN1-129-Eb_comp_01.npz,comp,580,126,242,611,85,211,580.0,611.0,0.8299319727891157,0.7052023121387283,0.7625,0.8827586206896552,0.7398843930635838,0.8050314465408805,0.953125
03_Rock3-117-Bb_comp_00.npz,comp,538,85,116,539,75,115,538.0,539.0,0.856,0.8492063492063492,0.852589641434263,0.8699186991869918,0.8492063492063492,0.8594377510040161,1.0
01_Jazz3-150-C_comp_02.npz,comp,277,18,53,277,18,53,277.0,277.0,0.9230769230769231,0.7792207792207793,0.8450704225352113,0.9230769230769231,0.7792207792207793,0.8450704225352113,1.0
01_Jazz3-150-C_comp_03.npz,comp,297,26,63,298,25,62,297.0,298.0,0.8441558441558441,0.8024691358024691,0.8227848101265823,0.8441558441558441,0.8024691358024691,0.8227848101265823,1.0
03_BN1-129-Eb_solo_01.npz,solo,256,13,11,256,13,11,256.0,256.0,0.9122807017543859,0.9454545454545454,0.9285714285714286,0.9122807017543859,0.9454545454545454,0.9285714285714286,1.0
03_Jazz1-130-D_solo_00.npz,solo,208,15,10,208,15,10,208.0,208.0,0.8695652173913043,0.975609756097561,0.9195402298850575,0.8695652173913043,0.975609756097561,0.9195402298850575,1.0
00_Funk1-114-Ab_comp_01.npz,comp,722,205,148,729,196,141,722.0,729.0,0.7777777777777778,0.8698224852071006,0.8212290502793296,0.7777777777777778,0.8698224852071006,0.8212290502793296,1.0
05_BN3-154-E_solo_03.npz,solo,168,58,19,178,38,9,168.0,178.0,0.6140350877192983,0.8536585365853658,0.7142857142857143,0.6545454545454545,0.8780487804878049,0.75,0.9722222222222222
03_Rock3-117-Bb_comp_02.npz,comp,518,217,211,673,50,56,518.0,673.0,0.697986577181208,0.7222222222222222,0.7098976109215017,0.9183673469387755,0.9375,0.9278350515463918,0.7703703703703704
04_Rock1-130-A_comp_02.npz,comp,291,256,388,487,53,174,291.0,487.0,0.5,0.3918918918918919,0.4393939393939394,0.9051724137931034,0.7342657342657343,0.8108108108108109,0.5523809523809524
05_Funk1-114-Ab_solo_02.npz,solo,84,65,33,87,48,30,84.0,87.0,0.5,0.5454545454545454,0.5217391304347826,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0
