track,subset,low_80_200_db,lowmid_200_800_db,mid_0p8_3k_db,high_3_8k_db,tilt_db_per_decade,rms_delta_db,lag_ms
00_BN1-129-Eb_comp,comp,2.502,-4.272,1.873,8.865,10.724,9.13,10.884
00_BN1-129-Eb_solo,solo,6.349,-2.172,1.118,6.362,6.603,8.469,-0.454
00_BN1-147-Gb_comp,comp,-0.347,-5.447,1.209,6.645,9.116,8.082,5.442
00_BN1-147-Gb_solo,solo,-2.159,-3.539,1.064,7.65,10.693,9.048,6.009
00_BN2-131-B_comp,comp,0.497,-5.658,0.922,7.585,10.483,8.604,5.329
00_BN2-131-B_solo,solo,11.606,-6.452,0.355,4.569,6.478,7.253,-1.814
00_BN2-166-Ab_comp,comp,0.817,-4.932,1.514,7.983,10.472,9.184,5.669
00_BN2-166-Ab_solo,solo,5.045,-5.551,1.459,6.991,9.616,8.854,10.771
00_BN3-119-G_comp,comp,-1.877,-5.789,0.507,5.573,9.23,7.169,5.556
00_BN3-119-G_solo,solo,1.777,-4.56,1.383,5.911,8.465,7.602,15.646
00_BN3-154-E_comp,comp,-0.771,-6.318,1.117,7.105,10.925,8.503,6.349
00_BN3-154-E_solo,solo,-0.441,-5.129,1.778,6.559,9.19,8.295,5.782
00_Funk1-114-Ab_comp,comp,6.604,-4.359,1.066,7.342,9.13,8.678,16.1
00_Funk1-114-Ab_solo,solo,-1.815,-4.165,0.925,7.292,10.446,8.891,5.896
00_Funk1-97-C_comp,comp,3.864,-3.654,1.127,7.633,9.609,9.033,6.463
00_Funk1-97-C_solo,solo,2.376,-2.93,1.425,6.153,7.239,7.572,-1.474
00_Funk2-108-Eb_comp,comp,3.092,-4.523,0.983,7.587,10.104,8.833,10.771
00_Funk2-108-Eb_solo,solo,-0.33,-2.472,1.017,6.545,8.805,8.074,5.442
00_Funk2-119-G_comp,comp,2.494,-3.686,0.932,7.393,9.755,8.741,10.771
00_Funk2-119-G_solo,solo,2.366,-3.139,1.217,6.056,7.299,7.586,5.556
00_Funk3-112-C#_comp,comp,1.499,-5.431,0.866,7.919,11.071,8.931,-1.701
00_Funk3-112-C#_solo,solo,6.631,-2.977,1.048,7.188,7.424,8.23,5.442
00_Funk3-98-A_comp,comp,2.625,-5.04,0.579,7.245,9.859,8.432,6.349
00_Funk3-98-A_solo,solo,4.355,-5.674,0.791,5.848,8.212,7.569,10.544
00_Jazz1-130-D_comp,comp,4.17,-4.028,0.842,7.169,9.578,8.866,6.236
00_Jazz1-130-D_solo,solo,0.582,-4.045,1.528,5.601,7.798,7.65,5.329
00_Jazz1-200-B_comp,comp,4.526,-3.658,1.001,7.414,9.522,9.105,10.431
00_Jazz1-200-B_solo,solo,-1.307,-5.073,0.816,9.005,12.824,11.041,6.236
00_Jazz2-110-Bb_comp,comp,4.361,-4.853,1.457,7.481,9.683,9.033,10.431
00_Jazz2-110-Bb_solo,solo,0.375,-5.738,1.019,5.965,9.229,7.546,7.37
00_Jazz2-187-F#_comp,comp,4.952,-3.725,0.751,7.359,9.475,8.761,5.669
00_Jazz2-187-F#_solo,solo,9.426,-3.484,1.04,7.286,8.054,8.921,6.009
00_Jazz3-137-Eb_comp,comp,2.329,-5.529,1.189,7.807,11.013,9.526,40.816
00_Jazz3-137-Eb_solo,solo,1.594,-3.771,1.498,7.463,9.27,8.693,-28.118
00_Jazz3-150-C_comp,comp,7.268,-4.871,0.895,8.462,10.969,9.998,10.317
00_Jazz3-150-C_solo,solo,3.004,-3.887,1.25,6.42,8.184,8.456,5.556
